chunk_id,local_index,cell_type
0,749,hematopoietic multipotent progenitor cell
0,750,early promyelocyte
0,759,hematopoietic multipotent progenitor cell
0,760,hematopoietic multipotent progenitor cell
0,775,erythroid lineage cell
0,778,hematopoietic multipotent progenitor cell
0,803,hematopoietic multipotent progenitor cell
0,808,hematopoietic multipotent progenitor cell
0,824,hematopoietic multipotent progenitor cell
0,828,erythroid lineage cell
0,829,hematopoietic multipotent progenitor cell
0,836,hematopoietic multipotent progenitor cell
0,841,hematopoietic multipotent progenitor cell
0,851,"CD4-positive, alpha-beta memory T cell"
0,866,"CD8-positive, alpha-beta memory T cell"
0,873,"CD8-positive, alpha-beta memory T cell"
0,892,"effector memory CD8-positive, alpha-beta T cell"
0,899,"CD4-positive, alpha-beta memory T cell"
0,908,unswitched memory B cell
0,917,"CD8-positive, alpha-beta memory T cell"
0,931,"central memory CD8-positive, alpha-beta T cell"
0,944,"central memory CD8-positive, alpha-beta T cell"
0,953,"CD4-positive, alpha-beta cytotoxic T cell"
0,957,"central memory CD8-positive, alpha-beta T cell"
0,959,"CD8-positive, alpha-beta memory T cell"
0,961,"effector memory CD8-positive, alpha-beta T cell"
0,992,"CD8-positive, alpha-beta memory T cell"
0,996,"central memory CD8-positive, alpha-beta T cell"
0,999,hematopoietic multipotent progenitor cell
0,1027,"naive thymus-derived CD4-positive, alpha-beta T cell"
0,1034,classical monocyte
0,1041,classical monocyte
0,1044,classical monocyte
0,1050,classical monocyte
0,1055,conventional dendritic cell
0,1067,classical monocyte
0,1068,classical monocyte
0,1071,classical monocyte
0,1072,classical monocyte
0,1083,classical monocyte
0,1085,classical monocyte
0,1087,classical monocyte
0,1089,classical monocyte
0,1100,classical monocyte
0,1107,classical monocyte
0,1110,classical monocyte
0,1119,classical monocyte
0,1135,myelocyte
0,1143,classical monocyte
0,1155,classical monocyte
0,1159,classical monocyte
0,1162,classical monocyte
0,1166,classical monocyte
0,1178,classical monocyte
0,1181,classical monocyte
0,1184,classical monocyte
0,1196,myelocyte
0,1206,classical monocyte
0,1208,classical monocyte
0,1218,classical monocyte
0,1228,classical monocyte
0,1230,classical monocyte
0,1241,classical monocyte
0,1243,classical monocyte
0,1253,classical monocyte
0,1255,erythroid progenitor cell
0,1260,classical monocyte
0,1285,classical monocyte
0,1286,non-classical monocyte
0,1298,classical monocyte
0,1302,classical monocyte
0,1320,"central memory CD8-positive, alpha-beta T cell"
0,1324,classical monocyte
0,1334,classical monocyte
0,1338,classical monocyte
0,1343,classical monocyte
0,1348,classical monocyte
0,1354,classical monocyte
0,1364,classical monocyte
0,1365,classical monocyte
0,1372,unswitched memory B cell
0,1392,classical monocyte
0,1394,classical monocyte
0,1413,classical monocyte
0,1421,classical monocyte
0,1431,classical monocyte
0,1439,myelocyte
0,1440,classical monocyte
0,1445,gamma-delta T cell
0,1453,classical monocyte
0,1456,classical monocyte
0,1462,classical monocyte
0,1464,classical monocyte
0,1467,classical monocyte
0,1471,"CD4-positive, alpha-beta memory T cell"
0,1499,"CD4-positive, alpha-beta memory T cell"
0,1501,gamma-delta T cell
0,1504,myelocyte
0,1538,"CD4-positive, alpha-beta memory T cell"
0,1549,"CD8-positive, alpha-beta memory T cell"
0,1550,myelocyte
0,1552,classical monocyte
0,1563,"central memory CD8-positive, alpha-beta T cell"
0,1567,"CD4-positive, alpha-beta memory T cell"
0,1572,"CD4-positive, alpha-beta memory T cell"
0,1577,"CD4-positive, alpha-beta memory T cell"
0,1585,classical monocyte
0,1602,classical monocyte
0,1612,"CD4-positive, alpha-beta memory T cell"
0,1613,"CD4-positive, alpha-beta memory T cell"
0,1623,progenitor cell
0,1625,classical monocyte
0,1652,non-classical monocyte
0,1659,classical monocyte
0,1664,progenitor cell
0,1672,erythroid progenitor cell
0,1679,erythroid progenitor cell
0,1692,conventional dendritic cell
0,1710,erythroid progenitor cell
0,1714,classical monocyte
0,1722,classical monocyte
0,1743,classical monocyte
0,1746,classical monocyte
0,1749,classical monocyte
0,1758,classical monocyte
0,1759,classical monocyte
0,1796,classical monocyte
0,1809,conventional dendritic cell
0,1824,classical monocyte
0,1831,classical monocyte
0,1862,early promyelocyte
0,1868,classical monocyte
0,1875,hematopoietic multipotent progenitor cell
0,1878,classical monocyte
0,1881,classical monocyte
0,1892,classical monocyte
0,1900,early promyelocyte
0,1907,early promyelocyte
0,1908,classical monocyte
0,1915,classical monocyte
0,1924,classical monocyte
0,1933,classical monocyte
0,1954,hematopoietic multipotent progenitor cell
0,1957,early promyelocyte
0,1962,classical monocyte
0,1966,classical monocyte
0,1997,early promyelocyte
0,2001,late promyelocyte
0,2011,classical monocyte
0,2032,"CD4-positive, alpha-beta cytotoxic T cell"
0,2039,classical monocyte
0,2044,hematopoietic multipotent progenitor cell
0,2067,"effector memory CD8-positive, alpha-beta T cell"
0,2073,"CD8-positive, alpha-beta memory T cell"
0,2080,"naive thymus-derived CD8-positive, alpha-beta T cell"
0,2086,naive B cell
0,2121,"effector memory CD8-positive, alpha-beta T cell"
0,2126,"CD4-positive, alpha-beta cytotoxic T cell"
0,2129,naive B cell
0,2139,"CD4-positive, alpha-beta memory T cell"
0,2155,unswitched memory B cell
0,2176,non-classical monocyte
0,2178,unswitched memory B cell
0,2187,conventional dendritic cell
0,2202,non-classical monocyte
0,2219,classical monocyte
0,2222,"CD4-positive, alpha-beta memory T cell"
0,2239,naive B cell
0,2241,"central memory CD8-positive, alpha-beta T cell"
0,2242,naive B cell
0,2273,"CD8-positive, alpha-beta memory T cell"
0,2276,"CD8-positive, alpha-beta memory T cell"
0,2289,unswitched memory B cell
0,2294,unswitched memory B cell
0,2364,"CD16-positive, CD56-dim natural killer cell, human"
0,2379,"effector memory CD8-positive, alpha-beta T cell"
0,2391,"effector memory CD8-positive, alpha-beta T cell"
0,2410,erythroid progenitor cell
0,2411,erythroid progenitor cell
0,2413,erythroid progenitor cell
0,2420,erythroid progenitor cell
0,2422,conventional dendritic cell
0,2425,pro-B cell
0,2428,erythroid progenitor cell
0,2430,conventional dendritic cell
0,2435,erythroid progenitor cell
0,2463,progenitor cell
0,2470,unswitched memory B cell
0,2476,unswitched memory B cell
0,2482,"CD8-positive, alpha-beta memory T cell"
0,2502,"effector memory CD8-positive, alpha-beta T cell"
0,2511,"CD4-positive, alpha-beta cytotoxic T cell"
0,2519,"CD4-positive, alpha-beta memory T cell"
0,2525,"CD8-positive, alpha-beta memory T cell"
0,2528,"CD4-positive, alpha-beta cytotoxic T cell"
0,2537,gamma-delta T cell
0,2549,natural killer cell
0,2551,"CD8-positive, alpha-beta memory T cell"
0,2559,immature B cell
0,2587,"central memory CD8-positive, alpha-beta T cell"
0,2639,"CD16-positive, CD56-dim natural killer cell, human"
0,2640,"naive thymus-derived CD4-positive, alpha-beta T cell"
0,2654,naive B cell
0,2655,"CD16-positive, CD56-dim natural killer cell, human"
0,2674,"central memory CD8-positive, alpha-beta T cell"
0,2680,"effector memory CD8-positive, alpha-beta T cell"
0,2686,"central memory CD8-positive, alpha-beta T cell"
0,2693,"CD8-positive, alpha-beta memory T cell"
0,2700,"effector memory CD8-positive, alpha-beta T cell"
0,2708,"CD16-positive, CD56-dim natural killer cell, human"
0,2729,"CD16-positive, CD56-dim natural killer cell, human"
0,2731,unswitched memory B cell
0,2737,"CD16-positive, CD56-dim natural killer cell, human"
0,2746,"central memory CD8-positive, alpha-beta T cell"
0,2789,erythroid progenitor cell
0,2790,erythroid progenitor cell
0,2796,erythroid progenitor cell
0,2811,erythroid progenitor cell
0,2818,erythroid progenitor cell
0,2820,erythroid progenitor cell
0,2826,conventional dendritic cell
0,2828,erythroid progenitor cell
0,2830,conventional dendritic cell
0,2834,erythroid progenitor cell
0,2843,classical monocyte
0,2848,erythroid progenitor cell
0,2860,classical monocyte
0,2886,non-classical monocyte
0,2898,erythroid lineage cell
0,2899,hematopoietic multipotent progenitor cell
0,2902,non-classical monocyte
0,2915,classical monocyte
0,2922,non-classical monocyte
0,2923,class switched memory B cell
0,2925,non-classical monocyte
0,2927,naive B cell
0,2941,hematopoietic multipotent progenitor cell
0,2963,class switched memory B cell
0,2970,non-classical monocyte
0,2975,unswitched memory B cell
0,2978,plasmacytoid dendritic cell
0,2987,hematopoietic multipotent progenitor cell
0,2999,"CD4-positive, alpha-beta memory T cell"
0,3001,class switched memory B cell
0,3041,"CD4-positive, alpha-beta memory T cell"
0,3051,"effector memory CD8-positive, alpha-beta T cell"
0,3054,"CD4-positive, alpha-beta memory T cell"
0,3068,gamma-delta T cell
0,3103,"central memory CD8-positive, alpha-beta T cell"
0,3105,"CD16-positive, CD56-dim natural killer cell, human"
0,3112,"effector memory CD8-positive, alpha-beta T cell"
0,3113,unswitched memory B cell
0,3127,"central memory CD8-positive, alpha-beta T cell"
0,3129,"CD4-positive, alpha-beta memory T cell"
0,3131,"CD4-positive, alpha-beta cytotoxic T cell"
0,3133,"effector memory CD8-positive, alpha-beta T cell"
0,3141,"effector memory CD8-positive, alpha-beta T cell"
0,3162,gamma-delta T cell
0,3170,"CD4-positive, alpha-beta memory T cell"
0,3175,unswitched memory B cell
0,3194,"CD16-positive, CD56-dim natural killer cell, human"
0,3205,"effector memory CD8-positive, alpha-beta T cell"
0,3216,unswitched memory B cell
0,3218,"central memory CD8-positive, alpha-beta T cell"
0,3252,naive B cell
0,3258,"effector memory CD8-positive, alpha-beta T cell"
0,3286,"CD4-positive, alpha-beta memory T cell"
0,3317,"effector memory CD8-positive, alpha-beta T cell"
0,3322,classical monocyte
0,3327,"CD16-positive, CD56-dim natural killer cell, human"
0,3338,conventional dendritic cell
0,3357,erythroid progenitor cell
0,3363,erythroid progenitor cell
0,3366,conventional dendritic cell
0,3372,erythroid progenitor cell
0,3374,conventional dendritic cell
0,3377,erythroid progenitor cell
0,3381,erythroid progenitor cell
0,3386,megakaryocyte progenitor cell
0,3399,erythroid progenitor cell
0,3402,pre-natural killer cell
0,3410,megakaryocyte-erythroid progenitor cell
0,3418,hematopoietic multipotent progenitor cell
0,3419,classical monocyte
0,3428,hematopoietic multipotent progenitor cell
0,3430,non-classical monocyte
0,3432,erythroid progenitor cell
0,3438,hematopoietic multipotent progenitor cell
0,3439,hematopoietic multipotent progenitor cell
0,3441,unswitched memory B cell
0,3442,non-classical monocyte
0,3451,non-classical monocyte
0,3477,conventional dendritic cell
0,3480,"CD8-positive, alpha-beta memory T cell"
0,3484,erythroid progenitor cell
0,3488,class switched memory B cell
0,3496,megakaryocyte progenitor cell
0,3498,unswitched memory B cell
0,3519,"CD4-positive, alpha-beta memory T cell"
0,3547,hematopoietic multipotent progenitor cell
0,3559,immature B cell
0,3583,classical monocyte
0,3586,"CD16-positive, CD56-dim natural killer cell, human"
0,3590,unswitched memory B cell
0,3593,naive B cell
0,3640,erythroid progenitor cell
0,3648,"CD4-positive, alpha-beta memory T cell"
0,3665,class switched memory B cell
0,3694,"effector memory CD8-positive, alpha-beta T cell"
0,3702,class switched memory B cell
0,3703,erythroid progenitor cell
0,3708,class switched memory B cell
0,3728,"CD4-positive, alpha-beta memory T cell"
0,3734,"CD16-positive, CD56-dim natural killer cell, human"
0,3744,erythroid progenitor cell
0,3762,classical monocyte
0,3772,late promyelocyte
0,3789,erythroid progenitor cell
0,3791,erythroid progenitor cell
0,3793,conventional dendritic cell
0,3796,erythroid progenitor cell
0,3811,hematopoietic multipotent progenitor cell
0,3813,classical monocyte
0,3821,classical monocyte
0,3830,conventional dendritic cell
0,3843,hematopoietic multipotent progenitor cell
0,3858,megakaryocyte-erythroid progenitor cell
0,3867,non-classical monocyte
0,3871,hematopoietic multipotent progenitor cell
0,3877,hematopoietic multipotent progenitor cell
0,3883,megakaryocyte-erythroid progenitor cell
0,3884,classical monocyte
0,3885,erythroid progenitor cell
0,3886,classical monocyte
0,3895,lymphoid lineage restricted progenitor cell
0,3905,classical monocyte
0,3908,non-classical monocyte
0,3916,classical monocyte
0,3922,erythroid progenitor cell
0,3934,hematopoietic multipotent progenitor cell
0,3940,megakaryocyte-erythroid progenitor cell
0,3952,megakaryocyte progenitor cell
0,3954,erythroid progenitor cell
0,3962,erythroid progenitor cell
0,3965,megakaryocyte progenitor cell
0,3967,hematopoietic multipotent progenitor cell
0,3978,erythroid progenitor cell
0,3981,erythroid progenitor cell
0,3998,megakaryocyte-erythroid progenitor cell
0,3999,classical monocyte
0,4008,non-classical monocyte
0,4013,hematopoietic multipotent progenitor cell
0,4042,"CD8-positive, alpha-beta memory T cell"
0,4047,hematopoietic multipotent progenitor cell
0,4049,hematopoietic multipotent progenitor cell
0,4050,classical monocyte
0,4055,hematopoietic multipotent progenitor cell
0,4057,lymphoid lineage restricted progenitor cell
0,4059,hematopoietic multipotent progenitor cell
0,4060,"CD16-negative, CD56-bright natural killer cell, human"
0,4066,plasmacytoid dendritic cell
0,4067,non-classical monocyte
0,4069,megakaryocyte-erythroid progenitor cell
0,4079,classical monocyte
0,4088,"CD16-positive, CD56-dim natural killer cell, human"
0,4099,unswitched memory B cell
0,4100,classical monocyte
0,4104,conventional dendritic cell
0,4127,hematopoietic multipotent progenitor cell
0,4130,erythroid progenitor cell
0,4141,naive B cell
0,4147,hematopoietic multipotent progenitor cell
0,4151,hematopoietic multipotent progenitor cell
0,4159,"CD16-positive, CD56-dim natural killer cell, human"
0,4160,"CD4-positive, alpha-beta memory T cell"
0,4166,plasmacytoid dendritic cell
0,4185,plasmacytoid dendritic cell
0,4188,"CD16-positive, CD56-dim natural killer cell, human"
0,4191,"CD4-positive, alpha-beta memory T cell"
0,4194,naive B cell
0,4196,class switched memory B cell
0,4215,unswitched memory B cell
0,4219,"CD16-positive, CD56-dim natural killer cell, human"
0,4222,naive B cell
0,4226,naive B cell
0,4237,unswitched memory B cell
0,4243,"central memory CD8-positive, alpha-beta T cell"
0,4255,"CD16-positive, CD56-dim natural killer cell, human"
0,4289,"CD16-positive, CD56-dim natural killer cell, human"
0,4301,naive B cell
0,4306,"CD16-positive, CD56-dim natural killer cell, human"
0,4309,naive B cell
0,4316,class switched memory B cell
0,4319,classical monocyte
0,4332,naive B cell
0,4342,erythroid progenitor cell
0,4371,erythroid progenitor cell
0,4388,megakaryocyte progenitor cell
0,4392,erythroid progenitor cell
0,4393,megakaryocyte progenitor cell
0,4395,conventional dendritic cell
0,4399,conventional dendritic cell
0,4407,lymphoid lineage restricted progenitor cell
0,4422,erythroid progenitor cell
0,4439,late promyelocyte
0,4440,classical monocyte
0,4441,late promyelocyte
0,4452,early promyelocyte
0,4455,myelocyte
0,4466,classical monocyte
0,4480,classical monocyte
0,4494,myelocyte
0,4496,common dendritic progenitor
0,4497,megakaryocyte progenitor cell
0,4507,myelocyte
0,4510,pro-B cell
0,4516,erythroid progenitor cell
0,4521,classical monocyte
0,4524,classical monocyte
0,4531,classical monocyte
0,4536,megakaryocyte progenitor cell
0,4543,conventional dendritic cell
0,4569,hematopoietic multipotent progenitor cell
0,4585,precursor B cell
0,4587,erythroid progenitor cell
0,4595,plasmacytoid dendritic cell
0,4597,hematopoietic multipotent progenitor cell
0,4598,erythroid progenitor cell
0,4600,megakaryocyte-erythroid progenitor cell
0,4601,hematopoietic multipotent progenitor cell
0,4607,megakaryocyte-erythroid progenitor cell
0,4608,hematopoietic multipotent progenitor cell
0,4609,megakaryocyte-erythroid progenitor cell
0,4612,classical monocyte
0,4617,lymphoid lineage restricted progenitor cell
0,4623,lymphoid lineage restricted progenitor cell
0,4627,megakaryocyte-erythroid progenitor cell
0,4628,classical monocyte
0,4631,lymphoid lineage restricted progenitor cell
0,4638,class switched memory B cell
0,4640,hematopoietic multipotent progenitor cell
0,4648,"CD8-positive, alpha-beta memory T cell"
0,4654,"CD8-positive, alpha-beta memory T cell"
0,4663,"CD4-positive, alpha-beta memory T cell"
0,4681,unswitched memory B cell
0,4683,"CD4-positive, alpha-beta memory T cell"
0,4695,"CD4-positive, alpha-beta cytotoxic T cell"
0,4708,"CD4-positive, alpha-beta cytotoxic T cell"
0,4716,"effector memory CD8-positive, alpha-beta T cell"
0,4730,"CD4-positive, alpha-beta memory T cell"
0,4760,unswitched memory B cell
0,4764,"CD8-positive, alpha-beta memory T cell"
0,4781,naive B cell
0,4789,"CD8-positive, alpha-beta memory T cell"
0,4796,"CD4-positive, alpha-beta memory T cell"
0,4798,unswitched memory B cell
0,4802,"central memory CD8-positive, alpha-beta T cell"
0,4823,naive B cell
0,4883,"naive thymus-derived CD4-positive, alpha-beta T cell"
0,4885,immature B cell
0,4895,"CD16-negative, CD56-bright natural killer cell, human"
0,4897,"central memory CD8-positive, alpha-beta T cell"
0,4898,immature B cell
0,4903,"CD8-positive, alpha-beta memory T cell"
0,4904,unswitched memory B cell
0,4924,erythroid progenitor cell
0,4928,erythroid progenitor cell
0,4932,erythroid progenitor cell
0,4933,erythroid progenitor cell
0,4942,erythroid progenitor cell
0,4947,erythroid progenitor cell
0,4949,conventional dendritic cell
0,4966,erythroid progenitor cell
0,4992,lymphoid lineage restricted progenitor cell
0,5000,conventional dendritic cell
0,5003,late promyelocyte
0,5010,hematopoietic multipotent progenitor cell
0,5015,early promyelocyte
0,5021,hematopoietic multipotent progenitor cell
0,5025,lymphoid lineage restricted progenitor cell
0,5026,hematopoietic multipotent progenitor cell
0,5042,conventional dendritic cell
0,5045,conventional dendritic cell
0,5052,megakaryocyte-erythroid progenitor cell
0,5088,hematopoietic multipotent progenitor cell
0,5094,pro-B cell
0,5097,megakaryocyte-erythroid progenitor cell
0,5098,pro-B cell
0,5106,hematopoietic multipotent progenitor cell
0,5121,hematopoietic multipotent progenitor cell
0,5124,pro-B cell
0,5138,myelocyte
0,5153,lymphoid lineage restricted progenitor cell
0,5156,hematopoietic multipotent progenitor cell
0,5161,late promyelocyte
0,5167,erythroid progenitor cell
0,5192,non-classical monocyte
0,5204,unswitched memory B cell
0,5234,"CD16-positive, CD56-dim natural killer cell, human"
0,5243,pro-B cell
0,5246,"naive thymus-derived CD8-positive, alpha-beta T cell"
0,5263,"naive thymus-derived CD8-positive, alpha-beta T cell"
0,5276,unswitched memory B cell
0,5307,naive B cell
0,5323,unswitched memory B cell
0,5339,"naive thymus-derived CD8-positive, alpha-beta T cell"
0,5359,unswitched memory B cell
0,5360,"CD8-positive, alpha-beta memory T cell"
0,5387,"CD16-positive, CD56-dim natural killer cell, human"
0,5391,"central memory CD8-positive, alpha-beta T cell"
0,5412,"effector memory CD8-positive, alpha-beta T cell"
0,5423,naive B cell
0,5427,"effector memory CD8-positive, alpha-beta T cell"
0,5451,naive B cell
0,5453,"CD8-positive, alpha-beta memory T cell"
0,5455,"naive thymus-derived CD8-positive, alpha-beta T cell"
0,5458,naive B cell
0,5466,naive B cell
0,5468,"CD8-positive, alpha-beta memory T cell"
0,5472,naive B cell
0,5479,unswitched memory B cell
0,5490,"CD4-positive, alpha-beta memory T cell"
0,5493,"CD16-positive, CD56-dim natural killer cell, human"
0,5499,"CD8-positive, alpha-beta memory T cell"
0,5507,naive B cell
0,5519,naive B cell
0,5521,naive B cell
0,5529,naive B cell
0,5548,naive B cell
0,5560,immature B cell
0,5561,"CD16-positive, CD56-dim natural killer cell, human"
0,5562,"CD16-positive, CD56-dim natural killer cell, human"
0,5574,"CD8-positive, alpha-beta memory T cell"
0,5583,hematopoietic multipotent progenitor cell
0,5585,hematopoietic multipotent progenitor cell
0,5588,"naive thymus-derived CD8-positive, alpha-beta T cell"
0,5605,naive B cell
0,5623,"CD4-positive, alpha-beta memory T cell"
0,5637,promonocyte
0,5638,neutrophil
0,5640,dendritic cell
0,5643,megakaryocyte
0,5658,primitive red blood cell
0,5663,promonocyte
0,5673,naive B cell
0,5695,progenitor cell
0,5696,CD14-positive monocyte
0,5702,CD14-positive monocyte
0,5705,primitive red blood cell
0,5707,naive B cell
0,5710,neutrophil
0,5713,precursor B cell
0,5716,CD14-positive monocyte
0,5751,CD14-positive monocyte
0,5753,"CD16-negative, CD56-bright natural killer cell, human"
0,5765,CD14-positive monocyte
0,5771,promonocyte
0,5792,immature B cell
0,5801,endothelial cell of sinusoid
0,5806,CD14-positive monocyte
0,5826,promonocyte
0,5844,precursor B cell
0,5857,fraction A pre-pro B cell
0,5891,primitive red blood cell
0,5893,precursor B cell
0,5895,common myeloid progenitor
0,5904,precursor B cell
0,5906,CD14-positive monocyte
0,5910,promonocyte
0,5958,precursor B cell
0,5966,pro-B cell
0,5968,fraction A pre-pro B cell
0,5970,CD14-positive monocyte
0,5971,precursor B cell
0,5984,progenitor cell
0,6011,basophil
0,6020,promonocyte
0,6029,common myeloid progenitor
0,6031,precursor B cell
0,6038,mast cell
0,6040,dendritic cell
0,6058,CD14-positive monocyte
0,6068,basophil
0,6091,promonocyte
0,6102,hematopoietic multipotent progenitor cell
0,6103,CD14-positive monocyte
0,6108,granulocyte monocyte progenitor cell
0,6133,plasmacytoid dendritic cell
0,6140,"CD16-negative, CD56-bright natural killer cell, human"
0,6150,CD14-positive monocyte
0,6155,endothelial tip cell
0,6158,megakaryocyte
0,6253,plasma cell
0,6365,plasma cell
0,6368,plasma cell
0,6382,plasma cell
0,6400,plasma cell
0,6411,macrophage
0,6423,plasma cell
0,6437,primitive red blood cell
0,6577,plasma cell
0,6623,plasma cell
0,6637,plasma cell
0,6645,plasma cell
0,6729,plasma cell
0,6753,plasma cell
0,6776,plasma cell
0,6777,plasma cell
0,6809,plasma cell
0,6862,plasma cell
0,6873,plasma cell
0,6883,macrophage
0,6895,plasma cell
0,6902,macrophage
0,6921,plasma cell
0,6947,plasma cell
0,6969,macrophage
0,6975,macrophage
0,6979,stromal cell
0,6985,conventional dendritic cell
0,6987,conventional dendritic cell
0,7010,plasma cell
0,7073,plasma cell
0,7080,plasma cell
0,7090,plasma cell
0,7113,conventional dendritic cell
0,7120,conventional dendritic cell
0,7159,plasma cell
0,7186,plasma cell
0,7191,plasma cell
0,7260,plasma cell
0,7329,platelet
0,7332,platelet
0,7378,plasma cell
0,7383,plasma cell
0,7385,plasma cell
0,7400,macrophage
0,7405,conventional dendritic cell
0,7435,plasma cell
0,7437,plasma cell
0,7443,plasma cell
0,7462,plasma cell
0,7551,plasma cell
0,7617,primitive red blood cell
0,7627,plasma cell
0,7650,plasma cell
0,7691,plasma cell
0,7705,plasma cell
0,7726,plasma cell
0,7798,plasma cell
0,7830,T cell
0,7833,plasma cell
0,7879,plasma cell
0,7883,plasma cell
0,7952,plasma cell
0,7978,plasma cell
0,8034,plasma cell
0,8099,plasma cell
0,8122,plasma cell
0,8221,plasma cell
0,8251,plasma cell
0,8338,plasma cell
0,8368,macrophage
0,8374,macrophage
0,8376,stromal cell
0,8382,stromal cell
0,8387,macrophage
0,8518,plasma cell
0,8569,plasma cell
0,8621,plasma cell
0,8631,plasma cell
0,8722,plasma cell
0,8802,plasma cell
0,8803,plasma cell
0,8814,macrophage
0,8825,plasma cell
0,8835,plasma cell
0,8845,macrophage
0,8989,plasma cell
0,8994,stromal cell
0,9062,plasma cell
0,9063,plasma cell
0,9154,plasma cell
0,9172,basophil mast progenitor cell
0,9241,progenitor cell
0,9307,plasmacytoid dendritic cell
0,9325,hematopoietic multipotent progenitor cell
0,9336,promonocyte
0,9370,CD14-positive monocyte
0,9382,progenitor cell
0,9385,erythrocyte
0,9389,megakaryocyte-erythroid progenitor cell
0,9390,plasmacytoid dendritic cell
0,9394,chondrocyte
0,9446,osteoblast
0,9469,eosinophil
0,9476,promonocyte
0,9507,dendritic cell
0,9521,progenitor cell
0,9530,promonocyte
0,9555,promonocyte
0,9556,dendritic cell
0,9560,erythrocyte
0,9567,progenitor cell
0,9575,progenitor cell
0,9587,progenitor cell
0,9595,mast cell
0,9600,progenitor cell
0,9625,plasmacytoid dendritic cell
0,9627,mesenchymal stem cell
0,9662,erythrocyte
0,9677,primitive red blood cell
0,9726,macrophage
0,9769,basophil mast progenitor cell
0,9774,erythrocyte
0,9799,neutrophil
0,9842,precursor B cell
0,9846,CD14-positive monocyte
0,9887,progenitor cell
0,9894,common myeloid progenitor
0,9916,dendritic cell
0,9922,mesenchymal stem cell
0,9943,promonocyte
0,9945,megakaryocyte-erythroid progenitor cell
0,9950,mast cell
0,9990,endothelial cell
0,10001,progenitor cell
0,10016,megakaryocyte
0,10029,dendritic cell
0,10099,"CD4-positive, alpha-beta thymocyte"
0,10101,immature alpha-beta T cell
0,10132,"CD4-positive, alpha-beta thymocyte"
0,10151,immature alpha-beta T cell
0,10152,"CD8-positive, alpha-beta thymocyte"
0,10170,"CD8-positive, alpha-beta T cell"
0,10172,"CD4-positive, alpha-beta T cell"
0,10175,"CD4-positive, alpha-beta T cell"
0,10181,"CD4-positive, alpha-beta T cell"
0,10189,"CD4-positive, alpha-beta T cell"
0,10195,"CD4-positive, alpha-beta T cell"
0,10208,"CD4-positive, alpha-beta T cell"
0,10226,"CD4-positive, alpha-beta T cell"
0,10228,mature alpha-beta T cell
0,10232,"CD8-positive, alpha-beta T cell"
0,10234,"CD8-positive, alpha-beta T cell"
0,10237,"CD8-positive, alpha-beta T cell"
0,10243,mature alpha-beta T cell
0,10248,mature alpha-beta T cell
0,10285,"CD8-positive, alpha-beta thymocyte"
0,10288,"CD4-positive, alpha-beta thymocyte"
0,10293,"CD4-positive, alpha-beta thymocyte"
0,10309,"CD4-positive, alpha-beta thymocyte"
0,10319,immature alpha-beta T cell
0,10324,immature alpha-beta T cell
0,10325,immature alpha-beta T cell
0,10328,immature alpha-beta T cell
0,10336,"CD4-positive, alpha-beta T cell"
0,10337,"CD8-positive, alpha-beta T cell"
0,10338,"CD4-positive, alpha-beta T cell"
0,10342,"CD4-positive, alpha-beta T cell"
0,10348,"CD4-positive, alpha-beta T cell"
0,10355,"CD4-positive, alpha-beta T cell"
