Analyzing: Layer 9, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_9/sae_k_32_5120/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
2383       | CD4 T cells (0.39)        | lytic vacuole membrane (GO:0098852) (GO_Cellular_Component_2021) || lysosomal membrane (GO:0005765) (GO_Cellular_Component_2021)
3212       | CD4 T cells (0.26)        | integral component of mitochondrial inner membrane (GO:0031305) (GO_Cellular_Component_2021) || MIB complex (GO:0140275) (GO_Cellular_Component_2021) || SAM complex (GO:0001401) (GO_Cellular_Component_2021)
4808       | CD4 T cells (0.39)        | GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021) || protein serine/threonine kinase activity (GO:0004674) (GO_Molecular_Function_2021) || protein kinase C activity (GO:0004697) (GO_Molecular_Function_2021)
2040       | NK cells (0.24)           | large ribosomal subunit rRNA binding (GO:0070180) (GO_Molecular_Function_2021) || ubiquitin ligase inhibitor activity (GO:1990948) (GO_Molecular_Function_2021) || ubiquitin-protein transferase inhibitor activity (GO:0055105) (GO_Molecular_Function_2021)
2836       | CD4 T cells (0.61)        | regulation of G1/S transition of mitotic cell cycle (GO:2000045) (GO_Biological_Process_2021) || neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021)
4042       | CD4 T cells (0.49)        | tRNA modification (GO:0006400) (GO_Biological_Process_2021) || catalytic activity, acting on a tRNA (GO:0140101) (GO_Molecular_Function_2021) || tRNA binding (GO:0000049) (GO_Molecular_Function_2021)
2051       | CD4 T cells (0.34)        | cyclin-dependent protein kinase activity (GO:0097472) (GO_Molecular_Function_2021) || cyclin-dependent protein serine/threonine kinase activity (GO:0004693) (GO_Molecular_Function_2021) || regulation of mRNA metabolic process (GO:1903311) (GO_Biological_Process_2021)
1502       | CD4 T cells (0.46)        | protein tyrosine kinase binding (GO:1990782) (GO_Molecular_Function_2021)
4173       | CD14+ Monocytes (0.26)    | positive regulation of transmembrane transport (GO:0034764) (GO_Biological_Process_2021) || regulation of transferase activity (GO:0051338) (GO_Biological_Process_2021) || positive regulation of purine nucleotide metabolic process (GO:1900544) (GO_Biological_Process_2021)
750        | CD14+ Monocytes (-0.51)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || response to unfolded protein (GO:0006986) (GO_Biological_Process_2021) || chaperone-mediated protein complex assembly (GO:0051131) (GO_Biological_Process_2021)
957        | CD4 T cells (0.31)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
29         | CD4 T cells (0.55)        | base-excision repair, gap-filling (GO:0006287) (GO_Biological_Process_2021) || tRNA aminoacylation for mitochondrial protein translation (GO:0070127) (GO_Biological_Process_2021) || depyrimidination (GO:0045008) (GO_Biological_Process_2021)
2466       | CD14+ Monocytes (-0.53)   | MAPK cascade (GO:0000165) (GO_Biological_Process_2021)
261        | CD4 T cells (-0.32)       | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
2071       | B cells (0.36)            | mitochondrial translational elongation (GO:0070125) (GO_Biological_Process_2021) || mitochondrial translational termination (GO:0070126) (GO_Biological_Process_2021) || translational termination (GO:0006415) (GO_Biological_Process_2021)
2875       | NK cells (-0.25)          | lysosomal membrane (GO:0005765) (GO_Cellular_Component_2021) || lysosome (GO:0005764) (GO_Cellular_Component_2021) || lytic vacuole (GO:0000323) (GO_Cellular_Component_2021)
4980       | CD4 T cells (-0.23)       | response to unfolded protein (GO:0006986) (GO_Biological_Process_2021) || positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440) (GO_Biological_Process_2021) || regulation of translational initiation (GO:0006446) (GO_Biological_Process_2021)
1925       | CD4 T cells (0.53)        | filopodium (GO:0030175) (GO_Cellular_Component_2021) || actin-based cell projection (GO:0098858) (GO_Cellular_Component_2021) || phosphatidylinositol phosphate binding (GO:1901981) (GO_Molecular_Function_2021)
2217       | NK cells (-0.23)          | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
4927       | FCGR3A+ Monocytes (0.20)  | regulation of intracellular signal transduction (GO:1902531) (GO_Biological_Process_2021) || RNA polymerase II CTD heptapeptide repeat kinase activity (GO:0008353) (GO_Molecular_Function_2021) || protein serine/threonine kinase activity (GO:0004674) (GO_Molecular_Function_2021)
3186       | CD4 T cells (0.68)        | platelet alpha granule (GO:0031091) (GO_Cellular_Component_2021) || platelet alpha granule lumen (GO:0031093) (GO_Cellular_Component_2021) || endoplasmic reticulum lumen (GO:0005788) (GO_Cellular_Component_2021)
4101       | NK cells (-0.32)          | dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579) (GO_Molecular_Function_2021) || oligosaccharyl transferase activity (GO:0004576) (GO_Molecular_Function_2021) || COPI vesicle coat (GO:0030126) (GO_Cellular_Component_2021)
1480       | B cells (0.18)            | positive regulation of rRNA processing (GO:2000234) (GO_Biological_Process_2021) || regulation of rRNA processing (GO:2000232) (GO_Biological_Process_2021)
367        | B cells (0.33)            | positive regulation of vascular associated smooth muscle cell apoptotic process (GO:1905461) (GO_Biological_Process_2021) || regulation of vascular associated smooth muscle cell apoptotic process (GO:1905459) (GO_Biological_Process_2021) || positive regulation of smooth muscle cell apoptotic process (GO:0034393) (GO_Biological_Process_2021)
1554       | NK cells (-0.34)          | neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021) || neutrophil mediated immunity (GO:0002446) (GO_Biological_Process_2021)
4773       | FCGR3A+ Monocytes (-0.33) | anterograde synaptic vesicle transport (GO:0048490) (GO_Biological_Process_2021) || synaptic vesicle transport along microtubule (GO:0099517) (GO_Biological_Process_2021) || axonal transport (GO:0098930) (GO_Biological_Process_2021)
4842       | B cells (-0.42)           | nuclear receptor coactivator activity (GO:0030374) (GO_Molecular_Function_2021)
1643       | CD14+ Monocytes (-0.47)   | response to chemokine (GO:1990868) (GO_Biological_Process_2021)
655        | B cells (0.27)            | specific granule membrane (GO:0035579) (GO_Cellular_Component_2021) || specific granule (GO:0042581) (GO_Cellular_Component_2021)
1642       | CD4 T cells (0.51)        | RNA polymerase II, core complex (GO:0005665) (GO_Cellular_Component_2021) || 5'-3' RNA polymerase activity (GO:0034062) (GO_Molecular_Function_2021) || DNA-directed 5'-3' RNA polymerase activity (GO:0003899) (GO_Molecular_Function_2021)
3497       | B cells (0.35)            | NADPH binding (GO:0070402) (GO_Molecular_Function_2021) || NAD binding (GO:0051287) (GO_Molecular_Function_2021) || NADP binding (GO:0050661) (GO_Molecular_Function_2021)
3420       | CD4 T cells (0.49)        | regulation of protein localization to plasma membrane (GO:1903076) (GO_Biological_Process_2021) || negative regulation of protein localization to cell periphery (GO:1904376) (GO_Biological_Process_2021) || negative regulation of protein localization to plasma membrane (GO:1903077) (GO_Biological_Process_2021)
2451       | CD4 T cells (-0.27)       | phospholipid scramblase activity (GO:0017128) (GO_Molecular_Function_2021) || antiporter activity (GO:0015297) (GO_Molecular_Function_2021) || histone methyltransferase activity (GO:0042054) (GO_Molecular_Function_2021)
3740       | CD4 T cells (0.24)        | Sin3 complex (GO:0016580) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
1353       | CD14+ Monocytes (0.29)    | histone methyltransferase activity (GO:0042054) (GO_Molecular_Function_2021)
881        | FCGR3A+ Monocytes (-0.22) | U4 snRNA binding (GO:0030621) (GO_Molecular_Function_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
777        | NK cells (-0.33)          | regulation of receptor signaling pathway via JAK-STAT (GO:0046425) (GO_Biological_Process_2021) || regulation of receptor signaling pathway via STAT (GO:1904892) (GO_Biological_Process_2021) || basolateral plasma membrane (GO:0016323) (GO_Cellular_Component_2021)
3977       | B cells (0.21)            | transforming growth factor beta binding (GO:0050431) (GO_Molecular_Function_2021) || transition metal ion transmembrane transporter activity (GO:0046915) (GO_Molecular_Function_2021)
4547       | NK cells (-0.30)          | protein ubiquitination (GO:0016567) (GO_Biological_Process_2021) || ubiquitin-protein transferase activity (GO:0004842) (GO_Molecular_Function_2021) || ubiquitin protein ligase activity (GO:0061630) (GO_Molecular_Function_2021)
4245       | CD4 T cells (-0.34)       | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || U2-type catalytic step 1 spliceosome (GO:0071006) (GO_Cellular_Component_2021)
3599       | NK cells (-0.32)          | endosome membrane (GO:0010008) (GO_Cellular_Component_2021) || late endosome (GO:0005770) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
1366       | CD14+ Monocytes (-0.47)   | focal adhesion (GO:0005925) (GO_Cellular_Component_2021) || cell-substrate junction (GO:0030055) (GO_Cellular_Component_2021) || cadherin binding (GO:0045296) (GO_Molecular_Function_2021)
581        | CD14+ Monocytes (-0.56)   | cellular protein modification process (GO:0006464) (GO_Biological_Process_2021)
3837       | CD8 T cells (-0.25)       | protein carboxyl O-methyltransferase activity (GO:0051998) (GO_Molecular_Function_2021) || cAMP response element binding (GO:0035497) (GO_Molecular_Function_2021) || ubiquitin-ubiquitin ligase activity (GO:0034450) (GO_Molecular_Function_2021)
715        | CD4 T cells (0.35)        | negative regulation of microtubule depolymerization (GO:0007026) (GO_Biological_Process_2021) || negative regulation of protein depolymerization (GO:1901880) (GO_Biological_Process_2021) || regulation of microtubule depolymerization (GO:0031114) (GO_Biological_Process_2021)
1918       | NK cells (-0.25)          | deoxyribonuclease activity (GO:0004536) (GO_Molecular_Function_2021)
1895       | CD14+ Monocytes (-0.32)   | mitochondrial transcription (GO:0006390) (GO_Biological_Process_2021) || mitochondrial RNA metabolic process (GO:0000959) (GO_Biological_Process_2021) || N-methyltransferase activity (GO:0008170) (GO_Molecular_Function_2021)
3523       | B cells (-0.25)           | ER to Golgi transport vesicle membrane (GO:0012507) (GO_Cellular_Component_2021) || coated vesicle membrane (GO:0030662) (GO_Cellular_Component_2021) || transport vesicle membrane (GO:0030658) (GO_Cellular_Component_2021)
2259       | CD14+ Monocytes (-0.56)   | phagocytic vesicle (GO:0045335) (GO_Cellular_Component_2021) || GTPase activity (GO:0003924) (GO_Molecular_Function_2021) || DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227) (GO_Molecular_Function_2021)
2330       | CD14+ Monocytes (0.29)    | RNA binding (GO:0003723) (GO_Molecular_Function_2021)
525        | CD4 T cells (0.73)        | MHC class I receptor activity (GO:0032393) (GO_Molecular_Function_2021) || oxysterol binding (GO:0008142) (GO_Molecular_Function_2021) || MHC class Ib protein binding (GO:0023029) (GO_Molecular_Function_2021)
3657       | B cells (-0.39)           | DNA polymerase binding (GO:0070182) (GO_Molecular_Function_2021) || regulation of telomerase activity (GO:0051972) (GO_Biological_Process_2021)
3134       | CD8 T cells (0.20)        | cytoplasmic vesicle lumen (GO:0060205) (GO_Cellular_Component_2021) || cation:cation antiporter activity (GO:0015491) (GO_Molecular_Function_2021) || solute:cation antiporter activity (GO:0015298) (GO_Molecular_Function_2021)
3564       | CD4 T cells (0.45)        | ribosome (GO:0005840) (GO_Cellular_Component_2021) || SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021)
1418       | NK cells (-0.39)          | small-subunit processome (GO:0032040) (GO_Cellular_Component_2021)
4408       | CD14+ Monocytes (0.37)    | translation (GO:0006412) (GO_Biological_Process_2021) || SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021)
1204       | CD14+ Monocytes (0.37)    | phosphotransferase activity, alcohol group as acceptor (GO:0016773) (GO_Molecular_Function_2021) || mannosyltransferase activity (GO:0000030) (GO_Molecular_Function_2021)
532        | CD14+ Monocytes (0.46)    | U2-type spliceosomal complex (GO:0005684) (GO_Cellular_Component_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021) || mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021)
3825       | NK cells (0.26)           | mitotic spindle microtubule (GO:1990498) (GO_Cellular_Component_2021)
1349       | CD4 T cells (0.35)        | signaling receptor complex adaptor activity (GO:0030159) (GO_Molecular_Function_2021) || sodium:proton antiporter activity (GO:0015385) (GO_Molecular_Function_2021) || transmembrane receptor protein tyrosine kinase adaptor activity (GO:0005068) (GO_Molecular_Function_2021)
1852       | B cells (-0.32)           | phosphatase activator activity (GO:0019211) (GO_Molecular_Function_2021)
3696       | CD4 T cells (0.82)        | CCR1 chemokine receptor binding (GO:0031726) (GO_Molecular_Function_2021) || CCR5 chemokine receptor binding (GO:0031730) (GO_Molecular_Function_2021) || positive regulation of natural killer cell chemotaxis (GO:2000503) (GO_Biological_Process_2021)
1254       | NK cells (-0.28)          | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
861        | B cells (0.30)            | mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021)
3262       | NK cells (-0.34)          | Golgi-associated vesicle membrane (GO:0030660) (GO_Cellular_Component_2021) || trans-Golgi network (GO:0005802) (GO_Cellular_Component_2021)
3097       | B cells (0.15)            | damaged DNA binding (GO:0003684) (GO_Molecular_Function_2021) || SUMO ligase activity (GO:0061665) (GO_Molecular_Function_2021) || SUMO transferase activity (GO:0019789) (GO_Molecular_Function_2021)
753        | CD4 T cells (0.52)        | ubiquitin binding (GO:0043130) (GO_Molecular_Function_2021) || ubiquitin protein ligase binding (GO:0031625) (GO_Molecular_Function_2021) || ubiquitin-like protein ligase binding (GO:0044389) (GO_Molecular_Function_2021)
2154       | CD4 T cells (0.33)        | Cul3-RING ubiquitin ligase complex (GO:0031463) (GO_Cellular_Component_2021) || sodium channel regulator activity (GO:0017080) (GO_Molecular_Function_2021)
1302       | CD4 T cells (0.31)        | ribosome (GO:0005840) (GO_Cellular_Component_2021)
1693       | NK cells (-0.25)          | U7 snRNP (GO:0005683) (GO_Cellular_Component_2021) || U4 snRNP (GO:0005687) (GO_Cellular_Component_2021) || U5 snRNP (GO:0005682) (GO_Cellular_Component_2021)
2052       | CD14+ Monocytes (0.34)    | lysosome (GO:0005764) (GO_Cellular_Component_2021) || mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || catalytic activity, acting on a tRNA (GO:0140101) (GO_Molecular_Function_2021)
2249       | CD4 T cells (0.30)        | nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021) || intracellular non-membrane-bounded organelle (GO:0043232) (GO_Cellular_Component_2021)
4434       | CD14+ Monocytes (0.34)    | ubiquitin-dependent protein catabolic process (GO:0006511) (GO_Biological_Process_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021) || protein deubiquitination (GO:0016579) (GO_Biological_Process_2021)
4377       | B cells (0.33)            | MIB complex (GO:0140275) (GO_Cellular_Component_2021) || SAM complex (GO:0001401) (GO_Cellular_Component_2021) || mitochondrial outer membrane translocase complex (GO:0005742) (GO_Cellular_Component_2021)
4909       | CD4 T cells (0.59)        | regulation of small GTPase mediated signal transduction (GO:0051056) (GO_Biological_Process_2021) || actin-myosin filament sliding (GO:0033275) (GO_Biological_Process_2021) || muscle filament sliding (GO:0030049) (GO_Biological_Process_2021)
3775       | CD4 T cells (0.51)        | proteasomal ubiquitin-independent protein catabolic process (GO:0010499) (GO_Biological_Process_2021) || Wnt signaling pathway, planar cell polarity pathway (GO:0060071) (GO_Biological_Process_2021) || regulation of establishment of planar polarity (GO:0090175) (GO_Biological_Process_2021)
4559       | NK cells (-0.26)          | estradiol 17-beta-dehydrogenase activity (GO:0004303) (GO_Molecular_Function_2021) || steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764) (GO_Molecular_Function_2021) || oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616) (GO_Molecular_Function_2021)
1226       | CD14+ Monocytes (-0.21)   | acyl-CoA dehydrogenase activity (GO:0003995) (GO_Molecular_Function_2021)
2803       | CD4 T cells (0.53)        | chromaffin granule (GO:0042583) (GO_Cellular_Component_2021) || L-serine biosynthetic process (GO:0006564) (GO_Biological_Process_2021) || L-serine metabolic process (GO:0006563) (GO_Biological_Process_2021)
2357       | NK cells (0.24)           | ficolin-1-rich granule lumen (GO:1904813) (GO_Cellular_Component_2021) || ficolin-1-rich granule (GO:0101002) (GO_Cellular_Component_2021) || positive regulation of establishment of protein localization to mitochondrion (GO:1903749) (GO_Biological_Process_2021)
475        | CD4 T cells (0.68)        | negative regulation of viral genome replication (GO:0045071) (GO_Biological_Process_2021) || regulation of viral genome replication (GO:0045069) (GO_Biological_Process_2021) || negative regulation of viral process (GO:0048525) (GO_Biological_Process_2021)
459        | CD14+ Monocytes (0.27)    | negative regulation of release of cytochrome c from mitochondria (GO:0090201) (GO_Biological_Process_2021) || DNA-templated transcription, termination (GO:0006353) (GO_Biological_Process_2021) || negative regulation of apoptotic signaling pathway (GO:2001234) (GO_Biological_Process_2021)
830        | CD14+ Monocytes (0.34)    | negative regulation of sequestering of triglyceride (GO:0010891) (GO_Biological_Process_2021) || regulation of myeloid leukocyte mediated immunity (GO:0002886) (GO_Biological_Process_2021) || regulation of sequestering of triglyceride (GO:0010889) (GO_Biological_Process_2021)
3926       | CD4 T cells (0.25)        | unmethylated CpG binding (GO:0045322) (GO_Molecular_Function_2021) || SUMO binding (GO:0032183) (GO_Molecular_Function_2021)
1919       | CD14+ Monocytes (-0.26)   | transcription cis-regulatory region binding (GO:0000976) (GO_Molecular_Function_2021) || RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || regulation of transcription by RNA polymerase II (GO:0006357) (GO_Biological_Process_2021)
2450       | B cells (0.36)            | volume-sensitive anion channel activity (GO:0005225) (GO_Molecular_Function_2021) || intracellular ligand-gated ion channel activity (GO:0005217) (GO_Molecular_Function_2021) || cyclic-GMP-AMP transmembrane import across plasma membrane (GO:0140361) (GO_Biological_Process_2021)
806        | CD14+ Monocytes (0.35)    | phosphofructokinase activity (GO:0008443) (GO_Molecular_Function_2021) || AMP binding (GO:0016208) (GO_Molecular_Function_2021) || fructose 1,6-bisphosphate metabolic process (GO:0030388) (GO_Biological_Process_2021)
4138       | CD4 T cells (0.24)        | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || intracellular organelle lumen (GO:0070013) (GO_Cellular_Component_2021) || RNA metabolic process (GO:0016070) (GO_Biological_Process_2021)
4598       | FCGR3A+ Monocytes (0.26)  | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || aerobic electron transport chain (GO:0019646) (GO_Biological_Process_2021) || mitochondrial ATP synthesis coupled electron transport (GO:0042775) (GO_Biological_Process_2021)
3029       | CD14+ Monocytes (-0.24)   | ESCRT complex disassembly (GO:1904896) (GO_Biological_Process_2021) || ESCRT III complex disassembly (GO:1904903) (GO_Biological_Process_2021) || midbody abscission (GO:0061952) (GO_Biological_Process_2021)
3862       | CD14+ Monocytes (0.44)    | integral component of mitochondrial membrane (GO:0032592) (GO_Cellular_Component_2021)
3025       | CD4 T cells (0.45)        | prenyltransferase activity (GO:0004659) (GO_Molecular_Function_2021)
1590       | CD4 T cells (0.55)        | cellular response to cytokine stimulus (GO:0071345) (GO_Biological_Process_2021) || regulation of apoptotic process (GO:0042981) (GO_Biological_Process_2021) || response to interferon-gamma (GO:0034341) (GO_Biological_Process_2021)
2845       | FCGR3A+ Monocytes (0.33)  | arachidonic acid binding (GO:0050544) (GO_Molecular_Function_2021) || icosatetraenoic acid binding (GO:0050543) (GO_Molecular_Function_2021) || icosanoid binding (GO:0050542) (GO_Molecular_Function_2021)
2341       | CD8 T cells (-0.34)       | protein exit from endoplasmic reticulum (GO:0032527) (GO_Biological_Process_2021) || endoplasmic reticulum membrane (GO:0005789) (GO_Cellular_Component_2021) || early endosome to Golgi transport (GO:0034498) (GO_Biological_Process_2021)
5031       | CD4 T cells (0.37)        | cation homeostasis (GO:0055080) (GO_Biological_Process_2021) || fatty acid metabolic process (GO:0006631) (GO_Biological_Process_2021) || dicarboxylic acid metabolic process (GO:0043648) (GO_Biological_Process_2021)
4859       | NK cells (-0.32)          | RNA strand annealing activity (GO:0033592) (GO_Molecular_Function_2021) || annealing activity (GO:0097617) (GO_Molecular_Function_2021) || double-stranded RNA binding (GO:0003725) (GO_Molecular_Function_2021)
2542       | FCGR3A+ Monocytes (-0.36) | negative regulation of intracellular signal transduction (GO:1902532) (GO_Biological_Process_2021) || recycling endosome (GO:0055037) (GO_Cellular_Component_2021) || recycling endosome membrane (GO:0055038) (GO_Cellular_Component_2021)
3865       | CD14+ Monocytes (-0.56)   | positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213) (GO_Biological_Process_2021) || regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211) (GO_Biological_Process_2021)
2617       | NK cells (0.22)           | tau-protein kinase activity (GO:0050321) (GO_Molecular_Function_2021)
3800       | CD14+ Monocytes (0.48)    | positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280) (GO_Biological_Process_2021) || positive regulation of gene expression (GO:0010628) (GO_Biological_Process_2021) || positive regulation of cytokine production (GO:0001819) (GO_Biological_Process_2021)
4264       | B cells (-0.42)           | regulation of histone exchange (GO:1900049) (GO_Biological_Process_2021) || positive regulation of histone exchange (GO:1900051) (GO_Biological_Process_2021) || proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161) (GO_Biological_Process_2021)
3299       | CD4 T cells (0.47)        | electron transport chain (GO:0022900) (GO_Biological_Process_2021) || flavin adenine dinucleotide binding (GO:0050660) (GO_Molecular_Function_2021) || histone demethylase activity (H3-trimethyl-K4 specific) (GO:0034647) (GO_Molecular_Function_2021)
710        | CD4 T cells (0.40)        | cullin-RING ubiquitin ligase complex (GO:0031461) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
4329       | FCGR3A+ Monocytes (-0.32) | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
1747       | CD4 T cells (0.37)        | positive regulation of T cell proliferation (GO:0042102) (GO_Biological_Process_2021) || positive regulation of lymphocyte proliferation (GO:0050671) (GO_Biological_Process_2021) || positive regulation of T cell activation (GO:0050870) (GO_Biological_Process_2021)
2214       | FCGR3A+ Monocytes (-0.22) | phosphatidylinositol phosphate binding (GO:1901981) (GO_Molecular_Function_2021) || phosphatidylinositol-3-phosphate binding (GO:0032266) (GO_Molecular_Function_2021)
1744       | CD14+ Monocytes (-0.23)   | extrinsic apoptotic signaling pathway (GO:0097191) (GO_Biological_Process_2021) || negative regulation of extrinsic apoptotic signaling pathway (GO:2001237) (GO_Biological_Process_2021) || death-inducing signaling complex (GO:0031264) (GO_Cellular_Component_2021)
2297       | B cells (0.38)            | sequence-specific DNA binding (GO:0043565) (GO_Molecular_Function_2021) || RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || DNA binding (GO:0003677) (GO_Molecular_Function_2021)
537        | Dendritic cells (0.19)    | protein modification by small protein conjugation (GO:0032446) (GO_Biological_Process_2021) || photoreceptor cell outer segment organization (GO:0035845) (GO_Biological_Process_2021)
56         | CD4 T cells (-0.45)       | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || regulation of transcription by RNA polymerase II (GO:0006357) (GO_Biological_Process_2021) || regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021)
2301       | CD4 T cells (0.40)        | acid-amino acid ligase activity (GO:0016881) (GO_Molecular_Function_2021) || 3'-5'-exodeoxyribonuclease activity (GO:0008296) (GO_Molecular_Function_2021)
