Analyzing: Layer 12, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_12/sae_k_32_5120_online/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
3186       | CD8 T cells (-0.14)       | regulation of natural killer cell mediated immunity (GO:0002715) (GO_Biological_Process_2021) || clathrin-coated vesicle (GO:0030136) (GO_Cellular_Component_2021)
2036       | CD14+ Monocytes (-0.61)   | azurophil granule lumen (GO:0035578) (GO_Cellular_Component_2021) || negative regulation of extrinsic apoptotic signaling pathway (GO:2001237) (GO_Biological_Process_2021) || positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426) (GO_Biological_Process_2021)
3686       | B cells (0.53)            | peptidyl-lysine hydroxylation (GO:0017185) (GO_Biological_Process_2021)
4101       | NK cells (-0.20)          | negative regulation of leukocyte cell-cell adhesion (GO:1903038) (GO_Biological_Process_2021)
4773       | NK cells (0.14)           | RNA polymerase II CTD heptapeptide repeat kinase activity (GO:0008353) (GO_Molecular_Function_2021) || protein kinase regulator activity (GO:0019887) (GO_Molecular_Function_2021) || cyclin-dependent protein kinase activity (GO:0097472) (GO_Molecular_Function_2021)
2234       | CD4 T cells (0.60)        | regulation of leukocyte mediated cytotoxicity (GO:0001910) (GO_Biological_Process_2021)
1643       | CD14+ Monocytes (0.36)    | nucleus (GO:0005634) (GO_Cellular_Component_2021)
655        | CD4 T cells (0.48)        | regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
4231       | CD4 T cells (0.42)        | pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221) (GO_Biological_Process_2021) || MHC class II receptor activity (GO:0032395) (GO_Molecular_Function_2021) || lumenal side of endoplasmic reticulum membrane (GO:0098553) (GO_Cellular_Component_2021)
4972       | FCGR3A+ Monocytes (-0.32) | transcription factor TFIID complex (GO:0005669) (GO_Cellular_Component_2021)
3497       | B cells (0.17)            | 90S preribosome (GO:0030686) (GO_Cellular_Component_2021) || mRNA catabolic process (GO:0006402) (GO_Biological_Process_2021) || RNA catabolic process (GO:0006401) (GO_Biological_Process_2021)
500        | B cells (0.35)            | catalytic activity, acting on a tRNA (GO:0140101) (GO_Molecular_Function_2021) || damaged DNA binding (GO:0003684) (GO_Molecular_Function_2021) || aminoacyl-tRNA editing activity (GO:0002161) (GO_Molecular_Function_2021)
3740       | CD4 T cells (0.38)        | SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cotranslational protein targeting to membrane (GO:0006613) (GO_Biological_Process_2021) || protein targeting to ER (GO:0045047) (GO_Biological_Process_2021)
1353       | NK cells (-0.31)          | G2/M transition of mitotic cell cycle (GO:0000086) (GO_Biological_Process_2021) || cell cycle G2/M phase transition (GO:0044839) (GO_Biological_Process_2021) || focal adhesion (GO:0005925) (GO_Cellular_Component_2021)
803        | CD14+ Monocytes (-0.49)   | regulation of transcription by RNA polymerase II (GO:0006357) (GO_Biological_Process_2021)
4547       | CD4 T cells (0.54)        | transforming growth factor beta binding (GO:0050431) (GO_Molecular_Function_2021)
4783       | CD14+ Monocytes (-0.36)   | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || respiratory chain complex I (GO:0045271) (GO_Cellular_Component_2021)
4245       | FCGR3A+ Monocytes (-0.26) | positive regulation of phagocytosis (GO:0050766) (GO_Biological_Process_2021) || regulation of phagocytosis (GO:0050764) (GO_Biological_Process_2021) || cellular response to interleukin-15 (GO:0071350) (GO_Biological_Process_2021)
3599       | CD4 T cells (0.49)        | regulation of excitatory synapse assembly (GO:1904889) (GO_Biological_Process_2021)
1232       | CD4 T cells (0.42)        | 90S preribosome (GO:0030686) (GO_Cellular_Component_2021) || cullin-RING ubiquitin ligase complex (GO:0031461) (GO_Cellular_Component_2021) || nuclear membrane (GO:0031965) (GO_Cellular_Component_2021)
596        | CD4 T cells (0.35)        | regulation of mRNA catabolic process (GO:0061013) (GO_Biological_Process_2021) || cellular response to interleukin-1 (GO:0071347) (GO_Biological_Process_2021)
547        | B cells (0.46)            | endosome membrane (GO:0010008) (GO_Cellular_Component_2021) || late endosome (GO:0005770) (GO_Cellular_Component_2021) || vesicle organization (GO:0016050) (GO_Biological_Process_2021)
256        | CD14+ Monocytes (-0.62)   | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || adherens junction (GO:0005912) (GO_Cellular_Component_2021)
3837       | CD14+ Monocytes (-0.36)   | transcription factor TFIID complex (GO:0005669) (GO_Cellular_Component_2021) || transcription initiation from RNA polymerase II promoter (GO:0006367) (GO_Biological_Process_2021) || DNA-templated transcription, initiation (GO:0006352) (GO_Biological_Process_2021)
1775       | CD14+ Monocytes (0.36)    | poly(G) binding (GO:0034046) (GO_Molecular_Function_2021) || MHC class II protein complex binding (GO:0023026) (GO_Molecular_Function_2021) || phosphatase inhibitor activity (GO:0019212) (GO_Molecular_Function_2021)
2059       | CD4 T cells (0.46)        | lysosome (GO:0005764) (GO_Cellular_Component_2021) || lytic vacuole (GO:0000323) (GO_Cellular_Component_2021) || negative regulation of B cell receptor signaling pathway (GO:0050859) (GO_Biological_Process_2021)
715        | CD14+ Monocytes (-0.45)   | Fc receptor mediated stimulatory signaling pathway (GO:0002431) (GO_Biological_Process_2021) || protein transport (GO:0015031) (GO_Biological_Process_2021) || Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096) (GO_Biological_Process_2021)
4343       | CD14+ Monocytes (0.24)    | pre-miRNA binding (GO:0070883) (GO_Molecular_Function_2021) || RISC-loading complex (GO:0070578) (GO_Cellular_Component_2021)
2426       | CD4 T cells (-0.33)       | Lys48-specific deubiquitinase activity (GO:1990380) (GO_Molecular_Function_2021)
1895       | CD4 T cells (0.52)        | cellular response to decreased oxygen levels (GO:0036294) (GO_Biological_Process_2021) || peptidyl-proline 4-dioxygenase activity (GO:0031545) (GO_Molecular_Function_2021) || oxygen homeostasis (GO:0032364) (GO_Biological_Process_2021)
3523       | FCGR3A+ Monocytes (-0.34) | azurophil granule (GO:0042582) (GO_Cellular_Component_2021) || vacuolar lumen (GO:0005775) (GO_Cellular_Component_2021) || intracellular non-membrane-bounded organelle (GO:0043232) (GO_Cellular_Component_2021)
694        | NK cells (-0.22)          | pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740) (GO_Molecular_Function_2021) || oxo-acid-lyase activity (GO:0016833) (GO_Molecular_Function_2021) || mannosyl-oligosaccharide 1,2-alpha-mannosidase activity (GO:0004571) (GO_Molecular_Function_2021)
2259       | B cells (-0.18)           | recycling endosome (GO:0055037) (GO_Cellular_Component_2021) || recycling endosome membrane (GO:0055038) (GO_Cellular_Component_2021)
3921       | CD4 T cells (0.58)        | Golgi membrane (GO:0000139) (GO_Cellular_Component_2021) || bounding membrane of organelle (GO:0098588) (GO_Cellular_Component_2021)
2330       | CD14+ Monocytes (-0.46)   | protein complex oligomerization (GO:0051259) (GO_Biological_Process_2021)
471        | CD4 T cells (-0.41)       | endosome membrane (GO:0010008) (GO_Cellular_Component_2021) || early endosome membrane (GO:0031901) (GO_Cellular_Component_2021) || positive regulation of lipopolysaccharide-mediated signaling pathway (GO:0031666) (GO_Biological_Process_2021)
525        | B cells (-0.52)           | 90S preribosome (GO:0030686) (GO_Cellular_Component_2021) || immune response-inhibiting cell surface receptor signaling pathway (GO:0002767) (GO_Biological_Process_2021) || positive regulation of regulatory T cell differentiation (GO:0045591) (GO_Biological_Process_2021)
3657       | CD4 T cells (0.43)        | mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021)
3134       | CD14+ Monocytes (-0.59)   | late endosome (GO:0005770) (GO_Cellular_Component_2021) || lytic vacuole (GO:0000323) (GO_Cellular_Component_2021) || positive regulation of autophagy (GO:0010508) (GO_Biological_Process_2021)
3564       | B cells (0.37)            | platelet dense tubular network membrane (GO:0031095) (GO_Cellular_Component_2021) || platelet dense tubular network (GO:0031094) (GO_Cellular_Component_2021) || endoplasmic reticulum membrane (GO:0005789) (GO_Cellular_Component_2021)
759        | CD14+ Monocytes (-0.24)   | manganese ion binding (GO:0030145) (GO_Molecular_Function_2021)
1204       | CD4 T cells (0.65)        | modulation by symbiont of host autophagy (GO:0075071) (GO_Biological_Process_2021) || late nucleophagy (GO:0044805) (GO_Biological_Process_2021) || lysosomal microautophagy (GO:0016237) (GO_Biological_Process_2021)
3167       | CD4 T cells (0.69)        | sodium ion binding (GO:0031402) (GO_Molecular_Function_2021) || potassium ion binding (GO:0030955) (GO_Molecular_Function_2021) || hydro-lyase activity (GO:0016836) (GO_Molecular_Function_2021)
188        | CD4 T cells (0.57)        | protein mono-ADP-ribosylation (GO:0140289) (GO_Biological_Process_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
1349       | CD4 T cells (0.66)        | regulation of response to interferon-gamma (GO:0060330) (GO_Biological_Process_2021) || positive regulation of double-strand break repair via nonhomologous end joining (GO:2001034) (GO_Biological_Process_2021) || negative regulation of double-strand break repair via homologous recombination (GO:2000042) (GO_Biological_Process_2021)
5108       | CD4 T cells (0.68)        | positive regulation of cytosolic calcium ion concentration (GO:0007204) (GO_Biological_Process_2021) || calcium-mediated signaling (GO:0019722) (GO_Biological_Process_2021) || 1-phosphatidylinositol-3-kinase regulator activity (GO:0046935) (GO_Molecular_Function_2021)
1254       | B cells (0.47)            | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
861        | NK cells (0.27)           | Golgi trans cisterna (GO:0000138) (GO_Cellular_Component_2021) || Golgi cisterna (GO:0031985) (GO_Cellular_Component_2021) || DNA modification (GO:0006304) (GO_Biological_Process_2021)
979        | CD4 T cells (0.33)        | ubiquitin-protein transferase activity (GO:0004842) (GO_Molecular_Function_2021) || racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857) (GO_Molecular_Function_2021) || N-acetylneuraminate catabolic process (GO:0019262) (GO_Biological_Process_2021)
812        | CD8 T cells (0.39)        | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
5112       | CD14+ Monocytes (0.65)    | regulation of erythrocyte differentiation (GO:0045646) (GO_Biological_Process_2021) || regulation of programmed necrotic cell death (GO:0062098) (GO_Biological_Process_2021) || regulation of necroptotic process (GO:0060544) (GO_Biological_Process_2021)
4347       | CD14+ Monocytes (-0.58)   | cytokine-mediated signaling pathway (GO:0019221) (GO_Biological_Process_2021) || cellular response to cytokine stimulus (GO:0071345) (GO_Biological_Process_2021) || negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042) (GO_Biological_Process_2021)
2154       | FCGR3A+ Monocytes (-0.38) | tRNA-specific ribonuclease activity (GO:0004549) (GO_Molecular_Function_2021) || integral component of mitochondrial outer membrane (GO:0031307) (GO_Cellular_Component_2021) || intrinsic component of mitochondrial outer membrane (GO:0031306) (GO_Cellular_Component_2021)
1042       | CD14+ Monocytes (-0.28)   | ubiquitin protein ligase binding (GO:0031625) (GO_Molecular_Function_2021) || ubiquitin-like protein ligase binding (GO:0044389) (GO_Molecular_Function_2021)
2135       | CD14+ Monocytes (-0.64)   | positive regulation of cytokine production (GO:0001819) (GO_Biological_Process_2021) || inflammatory response (GO:0006954) (GO_Biological_Process_2021) || neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021)
1693       | CD4 T cells (-0.65)       | regulation of immune response (GO:0050776) (GO_Biological_Process_2021) || positive regulation of cytokine production (GO:0001819) (GO_Biological_Process_2021) || negative regulation of viral entry into host cell (GO:0046597) (GO_Biological_Process_2021)
2052       | CD14+ Monocytes (-0.58)   | ubiquitin-protein transferase activator activity (GO:0097027) (GO_Molecular_Function_2021) || intracellular ligand-gated ion channel activity (GO:0005217) (GO_Molecular_Function_2021)
1727       | CD14+ Monocytes (-0.41)   | 1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847) (GO_Molecular_Function_2021) || positive regulation of ceramide biosynthetic process (GO:2000304) (GO_Biological_Process_2021) || positive regulation of sphingolipid biosynthetic process (GO:0090154) (GO_Biological_Process_2021)
1145       | CD4 T cells (0.62)        | neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021) || neutrophil mediated immunity (GO:0002446) (GO_Biological_Process_2021)
4377       | CD4 T cells (0.60)        | specific granule (GO:0042581) (GO_Cellular_Component_2021) || actin cytoskeleton (GO:0015629) (GO_Cellular_Component_2021) || negative regulation of metallopeptidase activity (GO:1905049) (GO_Biological_Process_2021)
3775       | B cells (-0.23)           | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || intracellular organelle lumen (GO:0070013) (GO_Cellular_Component_2021) || cellular amino acid catabolic process (GO:0009063) (GO_Biological_Process_2021)
4760       | CD4 T cells (0.65)        | positive regulation of tumor necrosis factor production (GO:0032760) (GO_Biological_Process_2021) || positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557) (GO_Biological_Process_2021) || regulation of type I interferon-mediated signaling pathway (GO:0060338) (GO_Biological_Process_2021)
1264       | CD4 T cells (0.56)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || cytoplasmic stress granule (GO:0010494) (GO_Cellular_Component_2021)
2856       | B cells (0.32)            | carboxy-lyase activity (GO:0016831) (GO_Molecular_Function_2021) || mannokinase activity (GO:0019158) (GO_Molecular_Function_2021) || fructokinase activity (GO:0008865) (GO_Molecular_Function_2021)
0          | B cells (0.24)            | positive regulation of transcription, DNA-templated (GO:0045893) (GO_Biological_Process_2021) || positive regulation of transcription by RNA polymerase II (GO:0045944) (GO_Biological_Process_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
2803       | FCGR3A+ Monocytes (-0.21) | DNA-binding transcription factor binding (GO:0140297) (GO_Molecular_Function_2021)
2088       | B cells (-0.30)           | endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116) (GO_Cellular_Component_2021) || microbody membrane (GO:0031903) (GO_Cellular_Component_2021) || peroxisomal membrane (GO:0005778) (GO_Cellular_Component_2021)
1984       | CD8 T cells (0.35)        | establishment of protein localization to organelle (GO:0072594) (GO_Biological_Process_2021) || nucleotide-sugar biosynthetic process (GO:0009226) (GO_Biological_Process_2021) || positive regulation of mitochondrial fission (GO:0090141) (GO_Biological_Process_2021)
3297       | CD14+ Monocytes (0.28)    | acylglycerol O-acyltransferase activity (GO:0016411) (GO_Molecular_Function_2021)
1907       | B cells (-0.35)           | collagen-containing extracellular matrix (GO:0062023) (GO_Cellular_Component_2021) || focal adhesion (GO:0005925) (GO_Cellular_Component_2021) || cell-substrate junction (GO:0030055) (GO_Cellular_Component_2021)
4138       | CD4 T cells (0.38)        | bHLH transcription factor binding (GO:0043425) (GO_Molecular_Function_2021)
3029       | CD4 T cells (0.46)        | galactose metabolic process (GO:0006012) (GO_Biological_Process_2021) || response to reactive oxygen species (GO:0000302) (GO_Biological_Process_2021)
3862       | CD4 T cells (0.52)        | cytoplasmic stress granule (GO:0010494) (GO_Cellular_Component_2021) || secretory granule lumen (GO:0034774) (GO_Cellular_Component_2021)
4466       | CD14+ Monocytes (-0.55)   | nucleolus (GO:0005730) (GO_Cellular_Component_2021) || chromosome (GO:0005694) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021)
4935       | CD4 T cells (0.35)        | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
805        | FCGR3A+ Monocytes (-0.33) | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || prespliceosome (GO:0071010) (GO_Cellular_Component_2021) || U2-type prespliceosome (GO:0071004) (GO_Cellular_Component_2021)
3412       | CD4 T cells (-0.45)       | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
3357       | CD4 T cells (0.76)        | T cell activation (GO:0042110) (GO_Biological_Process_2021) || positive thymic T cell selection (GO:0045059) (GO_Biological_Process_2021) || T cell receptor signaling pathway (GO:0050852) (GO_Biological_Process_2021)
2473       | CD8 T cells (-0.25)       | ether lipid biosynthetic process (GO:0008611) (GO_Biological_Process_2021) || FAD binding (GO:0071949) (GO_Molecular_Function_2021)
2845       | CD8 T cells (0.40)        | lumenal side of endoplasmic reticulum membrane (GO:0098553) (GO_Cellular_Component_2021) || integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556) (GO_Cellular_Component_2021) || COPII-coated ER to Golgi transport vesicle (GO:0030134) (GO_Cellular_Component_2021)
2341       | CD14+ Monocytes (0.50)    | positive regulation of blood vessel endothelial cell migration (GO:0043536) (GO_Biological_Process_2021) || regulation of blood vessel endothelial cell migration (GO:0043535) (GO_Biological_Process_2021) || coated vesicle (GO:0030135) (GO_Cellular_Component_2021)
5031       | B cells (-0.37)           | metal ion binding (GO:0046872) (GO_Molecular_Function_2021) || purine nucleobase metabolic process (GO:0006144) (GO_Biological_Process_2021)
2657       | CD14+ Monocytes (-0.53)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
2542       | B cells (0.49)            | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
2617       | CD4 T cells (0.70)        | kinase binding (GO:0019900) (GO_Molecular_Function_2021) || protein kinase binding (GO:0019901) (GO_Molecular_Function_2021)
4264       | CD14+ Monocytes (0.64)    | transcription corepressor binding (GO:0001222) (GO_Molecular_Function_2021) || transcription coregulator binding (GO:0001221) (GO_Molecular_Function_2021) || negative regulation of nucleic acid-templated transcription (GO:1903507) (GO_Biological_Process_2021)
3299       | CD4 T cells (-0.36)       | dolichol-linked oligosaccharide biosynthetic process (GO:0006488) (GO_Biological_Process_2021) || regulation of cellular amine metabolic process (GO:0033238) (GO_Biological_Process_2021) || regulation of cellular amino acid metabolic process (GO:0006521) (GO_Biological_Process_2021)
710        | CD14+ Monocytes (-0.40)   | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021)
4329       | FCGR3A+ Monocytes (0.20)  | RISC complex (GO:0016442) (GO_Cellular_Component_2021) || RISC-loading complex (GO:0070578) (GO_Cellular_Component_2021) || regulation of cellular response to transforming growth factor beta stimulus (GO:1903844) (GO_Biological_Process_2021)
1770       | CD8 T cells (0.29)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021)
376        | CD4 T cells (-0.56)       | polymeric cytoskeletal fiber (GO:0099513) (GO_Cellular_Component_2021) || cytoskeleton (GO:0005856) (GO_Cellular_Component_2021) || microtubule cytoskeleton (GO:0015630) (GO_Cellular_Component_2021)
2214       | CD4 T cells (0.74)        | histone acetyltransferase binding (GO:0035035) (GO_Molecular_Function_2021) || nuclear receptor binding (GO:0016922) (GO_Molecular_Function_2021) || cadherin binding (GO:0045296) (GO_Molecular_Function_2021)
2963       | B cells (0.36)            | GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021) || peptidase activator activity (GO:0016504) (GO_Molecular_Function_2021) || regulation of small GTPase mediated signal transduction (GO:0051056) (GO_Biological_Process_2021)
1744       | B cells (-0.15)           | cytidine deaminase activity (GO:0004126) (GO_Molecular_Function_2021) || tRNA-specific ribonuclease activity (GO:0004549) (GO_Molecular_Function_2021) || hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814) (GO_Molecular_Function_2021)
4399       | CD4 T cells (0.59)        | regulation of B cell receptor signaling pathway (GO:0050855) (GO_Biological_Process_2021) || regulation of interferon-gamma production (GO:0032649) (GO_Biological_Process_2021) || telomeric D-loop disassembly (GO:0061820) (GO_Biological_Process_2021)
2297       | B cells (-0.33)           | MHC protein binding (GO:0042287) (GO_Molecular_Function_2021) || lysosome (GO:0005764) (GO_Cellular_Component_2021) || MHC class I protein binding (GO:0042288) (GO_Molecular_Function_2021)
537        | CD4 T cells (-0.54)       | gamma-secretase complex (GO:0070765) (GO_Cellular_Component_2021) || CoA carboxylase activity (GO:0016421) (GO_Molecular_Function_2021)
2480       | CD4 T cells (0.70)        | alpha-1,4-glucosidase activity (GO:0004558) (GO_Molecular_Function_2021) || alpha-glucosidase activity (GO:0090599) (GO_Molecular_Function_2021)
