Analyzing: Layer 15, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_15/sae_k_32_5120/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
2749       | CD14+ Monocytes (-0.51)   | ficolin-1-rich granule (GO:0101002) (GO_Cellular_Component_2021) || retrograde axonal transport (GO:0008090) (GO_Biological_Process_2021) || endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888) (GO_Biological_Process_2021)
1166       | CD14+ Monocytes (-0.63)   | T-helper cell differentiation (GO:0042093) (GO_Biological_Process_2021) || regulation of T cell differentiation (GO:0045580) (GO_Biological_Process_2021) || lymphocyte differentiation (GO:0030098) (GO_Biological_Process_2021)
2685       | NK cells (-0.25)          | regulation of cytokine production (GO:0001817) (GO_Biological_Process_2021) || lymphocyte mediated immunity (GO:0002449) (GO_Biological_Process_2021) || T cell mediated immunity (GO:0002456) (GO_Biological_Process_2021)
2081       | CD14+ Monocytes (-0.14)   | H4/H2A histone acetyltransferase complex (GO:0043189) (GO_Cellular_Component_2021) || NuA4 histone acetyltransferase complex (GO:0035267) (GO_Cellular_Component_2021) || histone H2A acetylation (GO:0043968) (GO_Biological_Process_2021)
2383       | CD14+ Monocytes (0.59)    | ER to Golgi transport vesicle membrane (GO:0012507) (GO_Cellular_Component_2021) || coated vesicle membrane (GO:0030662) (GO_Cellular_Component_2021) || transport vesicle membrane (GO:0030658) (GO_Cellular_Component_2021)
3212       | CD4 T cells (-0.50)       | RNA binding (GO:0003723) (GO_Molecular_Function_2021)
2260       | CD14+ Monocytes (-0.45)   | peroxisome targeting sequence binding (GO:0000268) (GO_Molecular_Function_2021)
2487       | B cells (0.55)            | membrane raft distribution (GO:0031580) (GO_Biological_Process_2021) || regulation of interleukin-1-mediated signaling pathway (GO:2000659) (GO_Biological_Process_2021) || N-acetylneuraminate catabolic process (GO:0019262) (GO_Biological_Process_2021)
2443       | B cells (0.47)            | positive regulation of T cell activation (GO:0050870) (GO_Biological_Process_2021) || protein N-linked glycosylation via asparagine (GO:0018279) (GO_Biological_Process_2021) || peptidyl-asparagine modification (GO:0018196) (GO_Biological_Process_2021)
2465       | CD4 T cells (0.37)        | ribonuclease P RNA binding (GO:0033204) (GO_Molecular_Function_2021) || ribonuclease P activity (GO:0004526) (GO_Molecular_Function_2021) || tRNA-specific ribonuclease activity (GO:0004549) (GO_Molecular_Function_2021)
1502       | CD14+ Monocytes (0.33)    | post-Golgi vesicle-mediated transport (GO:0006892) (GO_Biological_Process_2021) || receptor-mediated endocytosis (GO:0006898) (GO_Biological_Process_2021) || postsynaptic endocytosis (GO:0140239) (GO_Biological_Process_2021)
3949       | CD4 T cells (0.21)        | tumor necrosis factor binding (GO:0043120) (GO_Molecular_Function_2021) || phosphatidylcholine floppase activity (GO:0090554) (GO_Molecular_Function_2021) || DNA-methyltransferase activity (GO:0009008) (GO_Molecular_Function_2021)
750        | CD14+ Monocytes (0.49)    | damaged DNA binding (GO:0003684) (GO_Molecular_Function_2021) || microtubule binding (GO:0008017) (GO_Molecular_Function_2021) || DNA repair (GO:0006281) (GO_Biological_Process_2021)
3955       | CD14+ Monocytes (-0.28)   | positive regulation of nucleic acid-templated transcription (GO:1903508) (GO_Biological_Process_2021) || histone modification (GO:0016570) (GO_Biological_Process_2021) || base-excision repair, gap-filling (GO:0006287) (GO_Biological_Process_2021)
1381       | CD4 T cells (0.60)        | interferon receptor activity (GO:0004904) (GO_Molecular_Function_2021) || purine nucleobase transmembrane transporter activity (GO:0005345) (GO_Molecular_Function_2021) || ADP transmembrane transporter activity (GO:0015217) (GO_Molecular_Function_2021)
4904       | CD4 T cells (0.50)        | regulation of glycolytic process (GO:0006110) (GO_Biological_Process_2021) || regulation of inflammatory response to wounding (GO:0106014) (GO_Biological_Process_2021) || T-tubule organization (GO:0033292) (GO_Biological_Process_2021)
2774       | NK cells (0.33)           | mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021)
2466       | CD4 T cells (-0.37)       | gamma-tubulin binding (GO:0043015) (GO_Molecular_Function_2021) || ciliary basal body-plasma membrane docking (GO:0097711) (GO_Biological_Process_2021) || tubulin binding (GO:0015631) (GO_Molecular_Function_2021)
261        | CD14+ Monocytes (-0.65)   | actin binding (GO:0003779) (GO_Molecular_Function_2021)
2071       | CD14+ Monocytes (0.23)    | cilium assembly (GO:0060271) (GO_Biological_Process_2021) || cilium organization (GO:0044782) (GO_Biological_Process_2021) || plasma membrane bounded cell projection assembly (GO:0120031) (GO_Biological_Process_2021)
999        | CD4 T cells (-0.38)       | lysosome (GO:0005764) (GO_Cellular_Component_2021) || lysosomal membrane (GO:0005765) (GO_Cellular_Component_2021) || glycolipid metabolic process (GO:0006664) (GO_Biological_Process_2021)
4331       | CD4 T cells (0.70)        | acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747) (GO_Molecular_Function_2021) || histone deacetylase binding (GO:0042826) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
3449       | CD14+ Monocytes (-0.59)   | U1 snRNP (GO:0005685) (GO_Cellular_Component_2021) || spliceosomal snRNP complex (GO:0097525) (GO_Cellular_Component_2021) || protein N-linked glycosylation via asparagine (GO:0018279) (GO_Biological_Process_2021)
4927       | CD4 T cells (0.63)        | positive regulation of transcription by RNA polymerase II (GO:0045944) (GO_Biological_Process_2021) || positive regulation of transcription, DNA-templated (GO:0045893) (GO_Biological_Process_2021) || negative regulation of transcription by RNA polymerase II (GO:0000122) (GO_Biological_Process_2021)
4827       | FCGR3A+ Monocytes (-0.26) | clathrin-coated endocytic vesicle membrane (GO:0030669) (GO_Cellular_Component_2021) || clathrin-coated endocytic vesicle (GO:0045334) (GO_Cellular_Component_2021) || clathrin-coated vesicle membrane (GO:0030665) (GO_Cellular_Component_2021)
3324       | B cells (-0.34)           | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || ubiquitin binding (GO:0043130) (GO_Molecular_Function_2021) || 1-phosphatidylinositol-4-phosphate 5-kinase activity (GO:0016308) (GO_Molecular_Function_2021)
4957       | NK cells (-0.25)          | mitotic spindle microtubule (GO:1990498) (GO_Cellular_Component_2021)
3244       | CD14+ Monocytes (-0.60)   | negative regulation of protein kinase B signaling (GO:0051898) (GO_Biological_Process_2021) || regulation of alternative mRNA splicing, via spliceosome (GO:0000381) (GO_Biological_Process_2021) || regulation of mRNA splicing, via spliceosome (GO:0048024) (GO_Biological_Process_2021)
3686       | CD14+ Monocytes (-0.60)   | regulation of proteolysis (GO:0030162) (GO_Biological_Process_2021) || DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977) (GO_Biological_Process_2021) || positive regulation of proteolysis (GO:0045862) (GO_Biological_Process_2021)
4101       | B cells (0.41)            | regulation of muscle contraction (GO:0006937) (GO_Biological_Process_2021)
1480       | CD4 T cells (0.53)        | regulation of cholesterol transport (GO:0032374) (GO_Biological_Process_2021) || regulation of immune response (GO:0050776) (GO_Biological_Process_2021) || peptide metabolic process (GO:0006518) (GO_Biological_Process_2021)
685        | B cells (-0.48)           | 1-phosphatidylinositol-3-kinase regulator activity (GO:0046935) (GO_Molecular_Function_2021) || phosphatidylinositol 3-kinase regulator activity (GO:0035014) (GO_Molecular_Function_2021) || protein kinase binding (GO:0019901) (GO_Molecular_Function_2021)
367        | CD14+ Monocytes (-0.63)   | carboxylic acid transmembrane transporter activity (GO:0046943) (GO_Molecular_Function_2021) || aromatic amino acid transmembrane transporter activity (GO:0015173) (GO_Molecular_Function_2021) || carboxylic acid transmembrane transport (GO:1905039) (GO_Biological_Process_2021)
1104       | CD4 T cells (0.68)        | endoplasmic reticulum tubular network organization (GO:0071786) (GO_Biological_Process_2021) || phagosome acidification (GO:0090383) (GO_Biological_Process_2021) || intracellular pH reduction (GO:0051452) (GO_Biological_Process_2021)
4773       | B cells (-0.29)           | cytoskeleton-nuclear membrane anchor activity (GO:0140444) (GO_Molecular_Function_2021) || cAMP-dependent protein kinase inhibitor activity (GO:0004862) (GO_Molecular_Function_2021) || cAMP-dependent protein kinase regulator activity (GO:0008603) (GO_Molecular_Function_2021)
2234       | CD14+ Monocytes (-0.30)   | integral component of mitochondrial inner membrane (GO:0031305) (GO_Cellular_Component_2021) || mitochondrion organization (GO:0007005) (GO_Biological_Process_2021) || ribonucleoside monophosphate biosynthetic process (GO:0009156) (GO_Biological_Process_2021)
4231       | CD14+ Monocytes (-0.58)   | cytokine receptor activity (GO:0004896) (GO_Molecular_Function_2021) || fructose 6-phosphate metabolic process (GO:0006002) (GO_Biological_Process_2021) || myeloid leukocyte differentiation (GO:0002573) (GO_Biological_Process_2021)
1642       | B cells (0.33)            | U2-type precatalytic spliceosome (GO:0071005) (GO_Cellular_Component_2021) || precatalytic spliceosome (GO:0071011) (GO_Cellular_Component_2021) || release of cytochrome c from mitochondria (GO:0001836) (GO_Biological_Process_2021)
4972       | CD14+ Monocytes (-0.49)   | WW domain binding (GO:0050699) (GO_Molecular_Function_2021) || negative regulation of tubulin deacetylation (GO:1904428) (GO_Biological_Process_2021) || regulation of tubulin deacetylation (GO:0090043) (GO_Biological_Process_2021)
1897       | NK cells (-0.25)          | ubiquitin binding (GO:0043130) (GO_Molecular_Function_2021) || ubiquitin protein ligase binding (GO:0031625) (GO_Molecular_Function_2021) || ubiquitin-like protein ligase binding (GO:0044389) (GO_Molecular_Function_2021)
3497       | CD14+ Monocytes (0.45)    | cytoplasmic vesicle membrane (GO:0030659) (GO_Cellular_Component_2021) || mitochondrial outer membrane (GO:0005741) (GO_Cellular_Component_2021) || organelle outer membrane (GO:0031968) (GO_Cellular_Component_2021)
3420       | B cells (-0.39)           | mRNA binding (GO:0003729) (GO_Molecular_Function_2021) || neuron apoptotic process (GO:0051402) (GO_Biological_Process_2021) || regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083) (GO_Biological_Process_2021)
1353       | CD8 T cells (0.47)        | regulation of immune response (GO:0050776) (GO_Biological_Process_2021) || MHC class I protein complex binding (GO:0023024) (GO_Molecular_Function_2021) || integral component of plasma membrane (GO:0005887) (GO_Cellular_Component_2021)
803        | CD14+ Monocytes (-0.54)   | very long-chain fatty acid metabolic process (GO:0000038) (GO_Biological_Process_2021) || very long-chain fatty acid catabolic process (GO:0042760) (GO_Biological_Process_2021) || peroxisome (GO:0005777) (GO_Cellular_Component_2021)
777        | CD4 T cells (0.30)        | nucleoside kinase activity (GO:0019206) (GO_Molecular_Function_2021) || phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity (GO:0052629) (GO_Molecular_Function_2021) || phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018) (GO_Molecular_Function_2021)
4783       | CD4 T cells (0.64)        | purine nucleobase transmembrane transporter activity (GO:0005345) (GO_Molecular_Function_2021) || ADP transmembrane transporter activity (GO:0015217) (GO_Molecular_Function_2021) || phospholipase inhibitor activity (GO:0004859) (GO_Molecular_Function_2021)
1366       | FCGR3A+ Monocytes (-0.18) | carbohydrate homeostasis (GO:0033500) (GO_Biological_Process_2021) || regulation of organelle assembly (GO:1902115) (GO_Biological_Process_2021) || regulation of cell cycle G2/M phase transition (GO:1902749) (GO_Biological_Process_2021)
256        | NK cells (-0.37)          | fatty acid beta-oxidation (GO:0006635) (GO_Biological_Process_2021) || fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539) (GO_Biological_Process_2021) || fatty acid oxidation (GO:0019395) (GO_Biological_Process_2021)
2619       | CD4 T cells (-0.36)       | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || calcium-dependent protein kinase activity (GO:0010857) (GO_Molecular_Function_2021)
3837       | CD4 T cells (0.71)        | pteridine-containing compound metabolic process (GO:0042558) (GO_Biological_Process_2021)
715        | CD14+ Monocytes (-0.52)   | protein dephosphorylation (GO:0006470) (GO_Biological_Process_2021)
4343       | B cells (0.37)            | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || transcription factor TFIIH core complex (GO:0000439) (GO_Cellular_Component_2021)
1918       | CD14+ Monocytes (0.62)    | transcription corepressor binding (GO:0001222) (GO_Molecular_Function_2021) || snoRNA binding (GO:0030515) (GO_Molecular_Function_2021) || cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538) (GO_Molecular_Function_2021)
3523       | CD14+ Monocytes (-0.64)   | filopodium (GO:0030175) (GO_Cellular_Component_2021) || dendrite (GO:0030425) (GO_Cellular_Component_2021)
694        | CD4 T cells (-0.25)       | aminoacyl-tRNA editing activity (GO:0002161) (GO_Molecular_Function_2021)
3657       | CD4 T cells (0.28)        | regulation of intracellular signal transduction (GO:1902531) (GO_Biological_Process_2021) || regulation of small GTPase mediated signal transduction (GO:0051056) (GO_Biological_Process_2021) || calcineurin-NFAT signaling cascade (GO:0033173) (GO_Biological_Process_2021)
4554       | CD14+ Monocytes (-0.34)   | NAD-dependent histone deacetylase activity (GO:0017136) (GO_Molecular_Function_2021) || NAD-dependent protein deacetylase activity (GO:0034979) (GO_Molecular_Function_2021) || oxidized DNA binding (GO:0032356) (GO_Molecular_Function_2021)
3564       | CD4 T cells (0.53)        | translation initiation factor activity (GO:0003743) (GO_Molecular_Function_2021) || clathrin-sculpted monoamine transport vesicle (GO:0070081) (GO_Cellular_Component_2021) || clathrin-sculpted monoamine transport vesicle membrane (GO:0070083) (GO_Cellular_Component_2021)
1418       | CD14+ Monocytes (0.63)    | cellular response to estradiol stimulus (GO:0071392) (GO_Biological_Process_2021) || response to estradiol (GO:0032355) (GO_Biological_Process_2021) || negative regulation of cell-cell adhesion (GO:0022408) (GO_Biological_Process_2021)
759        | CD4 T cells (0.47)        | mitochondrial electron transport, cytochrome c to oxygen (GO:0006123) (GO_Biological_Process_2021) || aerobic electron transport chain (GO:0019646) (GO_Biological_Process_2021) || mitochondrial ATP synthesis coupled electron transport (GO:0042775) (GO_Biological_Process_2021)
1204       | B cells (-0.55)           | cellular response to interferon-gamma (GO:0071346) (GO_Biological_Process_2021) || response to interferon-gamma (GO:0034341) (GO_Biological_Process_2021) || cellular response to cytokine stimulus (GO:0071345) (GO_Biological_Process_2021)
3167       | FCGR3A+ Monocytes (-0.21) | ligand-gated calcium channel activity (GO:0099604) (GO_Molecular_Function_2021) || lytic vacuole membrane (GO:0098852) (GO_Cellular_Component_2021) || lysosome (GO:0005764) (GO_Cellular_Component_2021)
2030       | B cells (0.52)            | DNA-methyltransferase activity (GO:0009008) (GO_Molecular_Function_2021) || S-methyltransferase activity (GO:0008172) (GO_Molecular_Function_2021) || cAMP-dependent protein kinase inhibitor activity (GO:0004862) (GO_Molecular_Function_2021)
532        | CD4 T cells (0.42)        | neutral amino acid transmembrane transporter activity (GO:0015175) (GO_Molecular_Function_2021) || cadherin binding (GO:0045296) (GO_Molecular_Function_2021) || organic anion transmembrane transporter activity (GO:0008514) (GO_Molecular_Function_2021)
3825       | CD4 T cells (0.49)        | endoplasmic reticulum lumen (GO:0005788) (GO_Cellular_Component_2021) || endoplasmic reticulum membrane (GO:0005789) (GO_Cellular_Component_2021) || intracellular organelle lumen (GO:0070013) (GO_Cellular_Component_2021)
1852       | CD14+ Monocytes (-0.47)   | RNA strand annealing activity (GO:0033592) (GO_Molecular_Function_2021) || annealing activity (GO:0097617) (GO_Molecular_Function_2021) || ribosomal small subunit binding (GO:0043024) (GO_Molecular_Function_2021)
5108       | NK cells (-0.33)          | cAMP response element binding protein binding (GO:0008140) (GO_Molecular_Function_2021) || regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619) (GO_Biological_Process_2021) || negative regulation of oxidative stress-induced neuron death (GO:1903204) (GO_Biological_Process_2021)
3696       | CD14+ Monocytes (-0.63)   | telomeric DNA binding (GO:0042162) (GO_Molecular_Function_2021) || D-loop DNA binding (GO:0062037) (GO_Molecular_Function_2021) || Y-form DNA binding (GO:0000403) (GO_Molecular_Function_2021)
1254       | NK cells (0.26)           | mRNA processing (GO:0006397) (GO_Biological_Process_2021) || regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021) || ERAD pathway (GO:0036503) (GO_Biological_Process_2021)
1979       | CD14+ Monocytes (-0.50)   | actin binding (GO:0003779) (GO_Molecular_Function_2021) || protein kinase binding (GO:0019901) (GO_Molecular_Function_2021) || cadherin binding (GO:0045296) (GO_Molecular_Function_2021)
979        | CD14+ Monocytes (-0.53)   | nuclear retention of pre-mRNA at the site of transcription (GO:0071033) (GO_Biological_Process_2021) || nuclear polyadenylation-dependent ncRNA catabolic process (GO:0071046) (GO_Biological_Process_2021) || nuclear polyadenylation-dependent rRNA catabolic process (GO:0071035) (GO_Biological_Process_2021)
1411       | CD14+ Monocytes (-0.26)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || small-subunit processome (GO:0032040) (GO_Cellular_Component_2021) || pyrophosphatase activity (GO:0016462) (GO_Molecular_Function_2021)
812        | CD14+ Monocytes (-0.52)   | MIB complex (GO:0140275) (GO_Cellular_Component_2021) || SAM complex (GO:0001401) (GO_Cellular_Component_2021) || mitochondrial outer membrane translocase complex (GO:0005742) (GO_Cellular_Component_2021)
3262       | B cells (-0.47)           | endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888) (GO_Biological_Process_2021) || vesicle coat (GO:0030120) (GO_Cellular_Component_2021) || coated vesicle membrane (GO:0030662) (GO_Cellular_Component_2021)
4212       | CD4 T cells (0.50)        | L-phenylalanine metabolic process (GO:0006558) (GO_Biological_Process_2021) || chromatin insulator sequence binding (GO:0043035) (GO_Molecular_Function_2021) || rRNA (adenine) methyltransferase activity (GO:0016433) (GO_Molecular_Function_2021)
3097       | CD4 T cells (0.41)        | histone methyltransferase binding (GO:1990226) (GO_Molecular_Function_2021) || cadherin binding (GO:0045296) (GO_Molecular_Function_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
753        | B cells (-0.58)           | pyrimidine ribonucleotide metabolic process (GO:0009218) (GO_Biological_Process_2021) || attachment of GPI anchor to protein (GO:0016255) (GO_Biological_Process_2021) || pyrimidine ribonucleotide biosynthetic process (GO:0009220) (GO_Biological_Process_2021)
4498       | CD14+ Monocytes (0.41)    | stem cell development (GO:0048864) (GO_Biological_Process_2021) || neural crest cell differentiation (GO:0014033) (GO_Biological_Process_2021) || mesenchymal cell development (GO:0014031) (GO_Biological_Process_2021)
2154       | CD14+ Monocytes (0.50)    | dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579) (GO_Molecular_Function_2021) || amidine-lyase activity (GO:0016842) (GO_Molecular_Function_2021) || oligosaccharyl transferase activity (GO:0004576) (GO_Molecular_Function_2021)
1302       | CD14+ Monocytes (-0.46)   | nucleus (GO:0005634) (GO_Cellular_Component_2021) || positive regulation of transcription, DNA-templated (GO:0045893) (GO_Biological_Process_2021) || positive regulation of DNA-templated transcription, elongation (GO:0032786) (GO_Biological_Process_2021)
2778       | FCGR3A+ Monocytes (-0.21) | sex chromosome (GO:0000803) (GO_Cellular_Component_2021) || Smc5-Smc6 complex (GO:0030915) (GO_Cellular_Component_2021) || SUMO ligase complex (GO:0106068) (GO_Cellular_Component_2021)
1693       | CD14+ Monocytes (-0.47)   | neuroligin family protein binding (GO:0097109) (GO_Molecular_Function_2021) || endoribonuclease activity, producing 3'-phosphomonoesters (GO:0016892) (GO_Molecular_Function_2021) || dopamine receptor binding (GO:0050780) (GO_Molecular_Function_2021)
1727       | FCGR3A+ Monocytes (-0.32) | regulation of cellular protein catabolic process (GO:1903362) (GO_Biological_Process_2021) || positive regulation of cellular protein catabolic process (GO:1903364) (GO_Biological_Process_2021) || endoplasmic reticulum membrane (GO:0005789) (GO_Cellular_Component_2021)
4434       | B cells (-0.46)           | protein N-linked glycosylation (GO:0006487) (GO_Biological_Process_2021) || protein glycosylation (GO:0006486) (GO_Biological_Process_2021) || xylulose 5-phosphate biosynthetic process (GO:1901159) (GO_Biological_Process_2021)
4909       | CD14+ Monocytes (0.30)    | Golgi stack (GO:0005795) (GO_Cellular_Component_2021)
3775       | CD14+ Monocytes (0.40)    | cytoplasmic translational initiation (GO:0002183) (GO_Biological_Process_2021) || translation initiation factor activity (GO:0003743) (GO_Molecular_Function_2021) || azurophil granule (GO:0042582) (GO_Cellular_Component_2021)
1264       | FCGR3A+ Monocytes (-0.26) | transcription regulatory region nucleic acid binding (GO:0001067) (GO_Molecular_Function_2021) || UDP-glycosyltransferase activity (GO:0008194) (GO_Molecular_Function_2021) || transcription cis-regulatory region binding (GO:0000976) (GO_Molecular_Function_2021)
2856       | CD14+ Monocytes (0.41)    | RNA polymerase I core promoter sequence-specific DNA binding (GO:0001164) (GO_Molecular_Function_2021) || RNA polymerase I transcription regulatory region sequence-specific DNA binding (GO:0001163) (GO_Molecular_Function_2021) || single-stranded RNA binding (GO:0003727) (GO_Molecular_Function_2021)
4559       | B cells (0.45)            | acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747) (GO_Molecular_Function_2021) || tumor necrosis factor binding (GO:0043120) (GO_Molecular_Function_2021) || chitinase activity (GO:0004568) (GO_Molecular_Function_2021)
1226       | NK cells (-0.35)          | protein kinase C binding (GO:0005080) (GO_Molecular_Function_2021) || four-way junction DNA binding (GO:0000400) (GO_Molecular_Function_2021) || regulation of cell adhesion molecule production (GO:0060353) (GO_Biological_Process_2021)
2803       | CD14+ Monocytes (-0.54)   | cullin-RING ubiquitin ligase complex (GO:0031461) (GO_Cellular_Component_2021) || protein modification by small protein conjugation (GO:0032446) (GO_Biological_Process_2021) || protein ubiquitination (GO:0016567) (GO_Biological_Process_2021)
2947       | CD4 T cells (0.48)        | cytoplasmic translational initiation (GO:0002183) (GO_Biological_Process_2021) || alcohol dehydrogenase [NAD(P)+] activity (GO:0018455) (GO_Molecular_Function_2021) || translation initiation factor activity (GO:0003743) (GO_Molecular_Function_2021)
2088       | CD14+ Monocytes (-0.46)   | tRNA (cytosine) methyltransferase activity (GO:0016427) (GO_Molecular_Function_2021) || tRNA methyltransferase activity (GO:0008175) (GO_Molecular_Function_2021) || S-adenosylmethionine-dependent methyltransferase activity (GO:0008757) (GO_Molecular_Function_2021)
1984       | CD14+ Monocytes (0.48)    | membrane raft (GO:0045121) (GO_Cellular_Component_2021) || intermediate filament (GO:0005882) (GO_Cellular_Component_2021) || intermediate filament cytoskeleton (GO:0045111) (GO_Cellular_Component_2021)
11         | FCGR3A+ Monocytes (-0.37) | RNA polymerase II complex binding (GO:0000993) (GO_Molecular_Function_2021) || RNA polymerase core enzyme binding (GO:0043175) (GO_Molecular_Function_2021) || basal RNA polymerase II transcription machinery binding (GO:0001099) (GO_Molecular_Function_2021)
1907       | CD14+ Monocytes (-0.50)   | positive regulation of GTPase activity (GO:0043547) (GO_Biological_Process_2021) || positive regulation of hydrolase activity (GO:0051345) (GO_Biological_Process_2021) || regulation of GTPase activity (GO:0043087) (GO_Biological_Process_2021)
830        | CD14+ Monocytes (-0.58)   | positive regulation of transcription, DNA-templated (GO:0045893) (GO_Biological_Process_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
1919       | CD4 T cells (0.50)        | calcium-mediated signaling using intracellular calcium source (GO:0035584) (GO_Biological_Process_2021) || response to epinephrine (GO:0071871) (GO_Biological_Process_2021) || cellular response to epinephrine stimulus (GO:0071872) (GO_Biological_Process_2021)
2450       | CD14+ Monocytes (0.58)    | secondary alcohol biosynthetic process (GO:1902653) (GO_Biological_Process_2021) || cholesterol biosynthetic process (GO:0006695) (GO_Biological_Process_2021) || sterol biosynthetic process (GO:0016126) (GO_Biological_Process_2021)
1676       | CD4 T cells (0.65)        | INO80-type complex (GO:0097346) (GO_Cellular_Component_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021)
4138       | CD14+ Monocytes (-0.52)   | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || cyclin/CDK positive transcription elongation factor complex (GO:0008024) (GO_Cellular_Component_2021)
3029       | CD14+ Monocytes (-0.56)   | interleukin-1 receptor binding (GO:0005149) (GO_Molecular_Function_2021) || nitric oxide biosynthetic process (GO:0006809) (GO_Biological_Process_2021) || nitric oxide metabolic process (GO:0046209) (GO_Biological_Process_2021)
2982       | CD4 T cells (0.37)        | cytosolic transport (GO:0016482) (GO_Biological_Process_2021) || anion homeostasis (GO:0055081) (GO_Biological_Process_2021) || lysosomal protein catabolic process (GO:1905146) (GO_Biological_Process_2021)
