Analyzing: Layer 12, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_12/sae_k_32_5120/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
1149       | CD4 T cells (0.53)        | extrinsic component of endosome membrane (GO:0031313) (GO_Cellular_Component_2021)
1586       | CD4 T cells (0.65)        | lysine N-methyltransferase activity (GO:0016278) (GO_Molecular_Function_2021) || chromosome (GO:0005694) (GO_Cellular_Component_2021) || protein-lysine N-methyltransferase activity (GO:0016279) (GO_Molecular_Function_2021)
2285       | CD4 T cells (0.49)        | phosphatase inhibitor activity (GO:0019212) (GO_Molecular_Function_2021) || protein phosphatase inhibitor activity (GO:0004864) (GO_Molecular_Function_2021) || WW domain binding (GO:0050699) (GO_Molecular_Function_2021)
3842       | CD4 T cells (0.54)        | regulation of Ras protein signal transduction (GO:0046578) (GO_Biological_Process_2021) || regulation of small GTPase mediated signal transduction (GO:0051056) (GO_Biological_Process_2021) || protein localization to site of double-strand break (GO:1990166) (GO_Biological_Process_2021)
3580       | B cells (0.43)            | type II transforming growth factor beta receptor binding (GO:0005114) (GO_Molecular_Function_2021) || type I transforming growth factor beta receptor binding (GO:0034713) (GO_Molecular_Function_2021) || transforming growth factor beta receptor binding (GO:0005160) (GO_Molecular_Function_2021)
3988       | CD4 T cells (0.49)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || regulation of mRNA splicing, via spliceosome (GO:0048024) (GO_Biological_Process_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021)
2749       | CD4 T cells (-0.27)       | Wnt signaling pathway, calcium modulating pathway (GO:0007223) (GO_Biological_Process_2021) || rhodopsin mediated signaling pathway (GO:0016056) (GO_Biological_Process_2021) || phototransduction, visible light (GO:0007603) (GO_Biological_Process_2021)
1166       | CD4 T cells (0.22)        | cAMP response element binding (GO:0035497) (GO_Molecular_Function_2021) || L-methionine salvage from methylthioadenosine (GO:0019509) (GO_Biological_Process_2021) || aspartate metabolic process (GO:0006531) (GO_Biological_Process_2021)
2685       | CD4 T cells (0.59)        | mitochondrial respiratory chain complex III (GO:0005750) (GO_Cellular_Component_2021) || mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122) (GO_Biological_Process_2021) || aerobic respiration (GO:0009060) (GO_Biological_Process_2021)
2081       | CD14+ Monocytes (0.49)    | sex chromosome (GO:0000803) (GO_Cellular_Component_2021) || Smc5-Smc6 complex (GO:0030915) (GO_Cellular_Component_2021) || SUMO ligase complex (GO:0106068) (GO_Cellular_Component_2021)
2383       | CD14+ Monocytes (0.34)    | sialyltransferase activity (GO:0008373) (GO_Molecular_Function_2021) || O-glycan processing (GO:0016266) (GO_Biological_Process_2021) || glycoprotein biosynthetic process (GO:0009101) (GO_Biological_Process_2021)
3212       | FCGR3A+ Monocytes (-0.28) | mitochondrion morphogenesis (GO:0070584) (GO_Biological_Process_2021) || cell part morphogenesis (GO:0032990) (GO_Biological_Process_2021)
2260       | B cells (-0.30)           | defense response to symbiont (GO:0140546) (GO_Biological_Process_2021) || defense response to virus (GO:0051607) (GO_Biological_Process_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
2487       | B cells (0.39)            | intrinsic component of endoplasmic reticulum membrane (GO:0031227) (GO_Cellular_Component_2021) || integral component of organelle membrane (GO:0031301) (GO_Cellular_Component_2021) || integral component of endoplasmic reticulum membrane (GO:0030176) (GO_Cellular_Component_2021)
4808       | FCGR3A+ Monocytes (-0.29) | postsynaptic recycling endosome (GO:0098837) (GO_Cellular_Component_2021) || AP-1 adaptor complex (GO:0030121) (GO_Cellular_Component_2021) || clathrin coat of trans-Golgi network vesicle (GO:0030130) (GO_Cellular_Component_2021)
2040       | CD4 T cells (0.53)        | positive regulation of non-motile cilium assembly (GO:1902857) (GO_Biological_Process_2021) || vesicle localization (GO:0051648) (GO_Biological_Process_2021) || regulation of non-motile cilium assembly (GO:1902855) (GO_Biological_Process_2021)
2443       | CD4 T cells (0.52)        | cAMP-dependent protein kinase activity (GO:0004691) (GO_Molecular_Function_2021) || cyclic nucleotide-dependent protein kinase activity (GO:0004690) (GO_Molecular_Function_2021) || K48-linked polyubiquitin modification-dependent protein binding (GO:0036435) (GO_Molecular_Function_2021)
2465       | CD14+ Monocytes (-0.42)   | telethonin binding (GO:0031433) (GO_Molecular_Function_2021) || muscle alpha-actinin binding (GO:0051371) (GO_Molecular_Function_2021) || CoA hydrolase activity (GO:0016289) (GO_Molecular_Function_2021)
4128       | CD14+ Monocytes (0.58)    | purine ribonucleoside triphosphate binding (GO:0035639) (GO_Molecular_Function_2021) || isocitrate dehydrogenase activity (GO:0004448) (GO_Molecular_Function_2021) || neurotrophin TRK receptor binding (GO:0005167) (GO_Molecular_Function_2021)
3181       | CD14+ Monocytes (0.41)    | cellular response to type I interferon (GO:0071357) (GO_Biological_Process_2021) || type I interferon signaling pathway (GO:0060337) (GO_Biological_Process_2021) || regulation of viral genome replication (GO:0045069) (GO_Biological_Process_2021)
2836       | CD8 T cells (-0.36)       | aspartic-type endopeptidase inhibitor activity (GO:0019828) (GO_Molecular_Function_2021) || cuprous ion binding (GO:1903136) (GO_Molecular_Function_2021) || G protein-coupled glutamate receptor binding (GO:0035256) (GO_Molecular_Function_2021)
4042       | CD8 T cells (-0.28)       | vesicle coat (GO:0030120) (GO_Cellular_Component_2021) || clathrin vesicle coat (GO:0030125) (GO_Cellular_Component_2021) || intrinsic component of mitochondrial membrane (GO:0098573) (GO_Cellular_Component_2021)
1502       | CD4 T cells (0.36)        | mitochondrial translational elongation (GO:0070125) (GO_Biological_Process_2021) || mitochondrial translational termination (GO:0070126) (GO_Biological_Process_2021) || translational termination (GO:0006415) (GO_Biological_Process_2021)
4173       | CD4 T cells (0.41)        | semaphorin receptor binding (GO:0030215) (GO_Molecular_Function_2021) || chemorepellent activity (GO:0045499) (GO_Molecular_Function_2021)
4590       | B cells (0.21)            | regulation of miRNA metabolic process (GO:2000628) (GO_Biological_Process_2021) || regulation of germinal center formation (GO:0002634) (GO_Biological_Process_2021) || negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371) (GO_Biological_Process_2021)
3949       | CD14+ Monocytes (-0.41)   | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
750        | CD14+ Monocytes (-0.42)   | lysosome (GO:0005764) (GO_Cellular_Component_2021) || lysosomal lumen (GO:0043202) (GO_Cellular_Component_2021) || ficolin-1-rich granule (GO:0101002) (GO_Cellular_Component_2021)
1381       | B cells (0.50)            | P-type sodium transporter activity (GO:0008554) (GO_Molecular_Function_2021) || P-type sodium:potassium-exchanging transporter activity (GO:0005391) (GO_Molecular_Function_2021) || sodium ion binding (GO:0031402) (GO_Molecular_Function_2021)
957        | B cells (-0.42)           | RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021) || 7S RNA binding (GO:0008312) (GO_Molecular_Function_2021)
29         | CD14+ Monocytes (-0.43)   | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || ubiquitin conjugating enzyme binding (GO:0031624) (GO_Molecular_Function_2021)
2774       | CD4 T cells (-0.69)       | protein phosphatase binding (GO:0019903) (GO_Molecular_Function_2021) || positive regulation of stress-activated MAPK cascade (GO:0032874) (GO_Biological_Process_2021) || positive regulation of reactive oxygen species metabolic process (GO:2000379) (GO_Biological_Process_2021)
2466       | CD14+ Monocytes (-0.54)   | antigen receptor-mediated signaling pathway (GO:0050851) (GO_Biological_Process_2021) || T cell activation (GO:0042110) (GO_Biological_Process_2021) || negative regulation of T cell receptor signaling pathway (GO:0050860) (GO_Biological_Process_2021)
261        | CD14+ Monocytes (-0.38)   | nuclear receptor coactivator activity (GO:0030374) (GO_Molecular_Function_2021) || telomeric DNA binding (GO:0042162) (GO_Molecular_Function_2021)
3774       | CD4 T cells (0.17)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || ribosomal small subunit binding (GO:0043024) (GO_Molecular_Function_2021) || formation of translation preinitiation complex (GO:0001731) (GO_Biological_Process_2021)
2875       | CD4 T cells (0.15)        | mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021) || fatty-acyl-CoA biosynthetic process (GO:0046949) (GO_Biological_Process_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021)
4980       | NK cells (0.26)           | aggresome (GO:0016235) (GO_Cellular_Component_2021) || non-membrane spanning protein tyrosine kinase activity (GO:0004715) (GO_Molecular_Function_2021) || calcium-dependent cysteine-type endopeptidase activity (GO:0004198) (GO_Molecular_Function_2021)
999        | CD4 T cells (0.40)        | phosphatidylinositol-3-phosphatase activity (GO:0004438) (GO_Molecular_Function_2021) || phosphatidylinositol monophosphate phosphatase activity (GO:0052744) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021)
1925       | CD4 T cells (-0.54)       | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || regulation of transcription by RNA polymerase II (GO:0006357) (GO_Biological_Process_2021) || regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021)
4331       | CD4 T cells (-0.55)       | NAD-dependent histone deacetylase activity (GO:0017136) (GO_Molecular_Function_2021) || NAD-dependent protein deacetylase activity (GO:0034979) (GO_Molecular_Function_2021) || potassium:proton antiporter activity (GO:0015386) (GO_Molecular_Function_2021)
3449       | CD14+ Monocytes (-0.57)   | cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021) || SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cotranslational protein targeting to membrane (GO:0006613) (GO_Biological_Process_2021)
4927       | CD14+ Monocytes (0.54)    | oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641) (GO_Molecular_Function_2021) || prostaglandin receptor activity (GO:0004955) (GO_Molecular_Function_2021) || FMN binding (GO:0010181) (GO_Molecular_Function_2021)
4827       | B cells (-0.36)           | defense response to symbiont (GO:0140546) (GO_Biological_Process_2021) || defense response to virus (GO:0051607) (GO_Biological_Process_2021) || negative regulation of viral genome replication (GO:0045071) (GO_Biological_Process_2021)
3324       | NK cells (-0.30)          | beta-2 adrenergic receptor binding (GO:0031698) (GO_Molecular_Function_2021) || alpha-mannosidase activity (GO:0004559) (GO_Molecular_Function_2021) || gamma-aminobutyric acid transmembrane transporter activity (GO:0015185) (GO_Molecular_Function_2021)
4957       | CD4 T cells (0.49)        | aerobic electron transport chain (GO:0019646) (GO_Biological_Process_2021) || mitochondrial ATP synthesis coupled electron transport (GO:0042775) (GO_Biological_Process_2021) || respiratory chain complex I (GO:0045271) (GO_Cellular_Component_2021)
3186       | CD14+ Monocytes (0.25)    | positive regulation of leukocyte mediated cytotoxicity (GO:0001912) (GO_Biological_Process_2021)
3244       | CD14+ Monocytes (-0.24)   | thioesterase binding (GO:0031996) (GO_Molecular_Function_2021) || tumor necrosis factor receptor binding (GO:0005164) (GO_Molecular_Function_2021)
108        | B cells (0.53)            | negative regulation of fat cell differentiation (GO:0045599) (GO_Biological_Process_2021) || regulation of protein secretion (GO:0050708) (GO_Biological_Process_2021) || negative regulation of cell growth (GO:0030308) (GO_Biological_Process_2021)
3686       | NK cells (-0.19)          | intrinsic component of endoplasmic reticulum membrane (GO:0031227) (GO_Cellular_Component_2021) || integral component of organelle membrane (GO:0031301) (GO_Cellular_Component_2021) || Golgi membrane (GO:0000139) (GO_Cellular_Component_2021)
4101       | CD14+ Monocytes (-0.37)   | hexose metabolic process (GO:0019318) (GO_Biological_Process_2021) || sodium ion binding (GO:0031402) (GO_Molecular_Function_2021) || phosphatidic acid transfer activity (GO:1990050) (GO_Molecular_Function_2021)
1480       | CD4 T cells (0.36)        | negative regulation of DNA-binding transcription factor activity (GO:0043433) (GO_Biological_Process_2021) || regulation of cell cycle (GO:0051726) (GO_Biological_Process_2021) || regulation of defense response (GO:0031347) (GO_Biological_Process_2021)
2067       | CD14+ Monocytes (-0.45)   | rough endoplasmic reticulum (GO:0005791) (GO_Cellular_Component_2021) || cyclin-dependent protein kinase holoenzyme complex (GO:0000307) (GO_Cellular_Component_2021) || serine/threonine protein kinase complex (GO:1902554) (GO_Cellular_Component_2021)
1819       | B cells (-0.43)           | MLL1 complex (GO:0071339) (GO_Cellular_Component_2021) || MLL1/2 complex (GO:0044665) (GO_Cellular_Component_2021)
367        | CD14+ Monocytes (-0.54)   | regulation of thymocyte apoptotic process (GO:0070243) (GO_Biological_Process_2021) || mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615) (GO_Biological_Process_2021) || negative regulation of T cell differentiation in thymus (GO:0033085) (GO_Biological_Process_2021)
4636       | CD14+ Monocytes (-0.65)   | sterol import (GO:0035376) (GO_Biological_Process_2021) || cholesterol import (GO:0070508) (GO_Biological_Process_2021) || regulation of B cell proliferation (GO:0030888) (GO_Biological_Process_2021)
1554       | FCGR3A+ Monocytes (-0.35) | ncRNA processing (GO:0034470) (GO_Biological_Process_2021) || ribonucleoprotein complex biogenesis (GO:0022613) (GO_Biological_Process_2021) || ribosome biogenesis (GO:0042254) (GO_Biological_Process_2021)
3043       | CD14+ Monocytes (-0.50)   | gamma-secretase complex (GO:0070765) (GO_Cellular_Component_2021) || cadherin binding (GO:0045296) (GO_Molecular_Function_2021)
30         | B cells (0.23)            | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
2187       | CD4 T cells (0.34)        | NAADP-sensitive calcium-release channel activity (GO:0072345) (GO_Molecular_Function_2021) || RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || titin binding (GO:0031432) (GO_Molecular_Function_2021)
1104       | CD14+ Monocytes (0.28)    | regulation of triglyceride biosynthetic process (GO:0010866) (GO_Biological_Process_2021) || protein serine/threonine kinase activity (GO:0004674) (GO_Molecular_Function_2021) || peptidoglycan immune receptor activity (GO:0016019) (GO_Molecular_Function_2021)
4773       | CD14+ Monocytes (-0.56)   | regulation of cilium assembly (GO:1902017) (GO_Biological_Process_2021) || modification-dependent protein catabolic process (GO:0019941) (GO_Biological_Process_2021) || microtubule minus-end binding (GO:0051011) (GO_Molecular_Function_2021)
2234       | CD14+ Monocytes (-0.36)   | Cul4-RING E3 ubiquitin ligase complex (GO:0080008) (GO_Cellular_Component_2021) || cullin-RING ubiquitin ligase complex (GO:0031461) (GO_Cellular_Component_2021) || Cul4A-RING E3 ubiquitin ligase complex (GO:0031464) (GO_Cellular_Component_2021)
4842       | CD14+ Monocytes (-0.64)   | neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021) || neutrophil mediated immunity (GO:0002446) (GO_Biological_Process_2021)
67         | CD4 T cells (0.68)        | ganglioside binding (GO:0035594) (GO_Molecular_Function_2021) || complement component C3b binding (GO:0001851) (GO_Molecular_Function_2021) || procollagen-proline 4-dioxygenase activity (GO:0004656) (GO_Molecular_Function_2021)
1643       | CD14+ Monocytes (-0.47)   | hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814) (GO_Molecular_Function_2021)
3198       | B cells (-0.31)           | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || beta-catenin-TCF complex (GO:1990907) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
655        | B cells (0.30)            | cellular response to cAMP (GO:0071320) (GO_Biological_Process_2021) || response to cAMP (GO:0051591) (GO_Biological_Process_2021) || negative regulation of translation (GO:0017148) (GO_Biological_Process_2021)
3643       | Dendritic cells (0.19)    | actin binding (GO:0003779) (GO_Molecular_Function_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021) || ErbB-3 class receptor binding (GO:0043125) (GO_Molecular_Function_2021)
1897       | CD4 T cells (0.40)        | chromocenter (GO:0010369) (GO_Cellular_Component_2021) || shelterin complex (GO:0070187) (GO_Cellular_Component_2021) || G protein-coupled chemoattractant receptor activity (GO:0001637) (GO_Molecular_Function_2021)
3497       | B cells (0.48)            | secretory granule membrane (GO:0030667) (GO_Cellular_Component_2021) || cytoplasmic vesicle membrane (GO:0030659) (GO_Cellular_Component_2021) || phosphatidylcholine floppase activity (GO:0090554) (GO_Molecular_Function_2021)
3420       | CD4 T cells (0.40)        | mitogen-activated protein kinase kinase kinase binding (GO:0031435) (GO_Molecular_Function_2021)
500        | CD14+ Monocytes (-0.46)   | Golgi cisterna (GO:0031985) (GO_Cellular_Component_2021) || Golgi trans cisterna (GO:0000138) (GO_Cellular_Component_2021) || microbody membrane (GO:0031903) (GO_Cellular_Component_2021)
2451       | CD8 T cells (0.17)        | nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
1530       | CD14+ Monocytes (-0.59)   | nuclear inclusion body (GO:0042405) (GO_Cellular_Component_2021) || interleukin-35-mediated signaling pathway (GO:0070757) (GO_Biological_Process_2021) || regulation of gene silencing by miRNA (GO:0060964) (GO_Biological_Process_2021)
4706       | CD14+ Monocytes (-0.19)   | snRNA transcription by RNA polymerase II (GO:0042795) (GO_Biological_Process_2021) || snRNA transcription (GO:0009301) (GO_Biological_Process_2021) || core promoter sequence-specific DNA binding (GO:0001046) (GO_Molecular_Function_2021)
3740       | CD14+ Monocytes (-0.43)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || mitochondrial translational elongation (GO:0070125) (GO_Biological_Process_2021) || regulation of pattern recognition receptor signaling pathway (GO:0062207) (GO_Biological_Process_2021)
1353       | CD14+ Monocytes (-0.41)   | protein serine/threonine phosphatase inhibitor activity (GO:0004865) (GO_Molecular_Function_2021) || NAD+ binding (GO:0070403) (GO_Molecular_Function_2021) || positive regulation of MHC class I biosynthetic process (GO:0045345) (GO_Biological_Process_2021)
881        | CD14+ Monocytes (-0.63)   | pyruvate metabolic process (GO:0006090) (GO_Biological_Process_2021) || glycolytic process (GO:0006096) (GO_Biological_Process_2021) || carbohydrate catabolic process (GO:0016052) (GO_Biological_Process_2021)
803        | CD4 T cells (-0.38)       | regulation of cholesterol biosynthetic process (GO:0045540) (GO_Biological_Process_2021) || RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629) (GO_Molecular_Function_2021) || growth factor receptor binding (GO:0070851) (GO_Molecular_Function_2021)
777        | FCGR3A+ Monocytes (-0.26) | endoplasmic reticulum lumen (GO:0005788) (GO_Cellular_Component_2021) || endoplasmic reticulum membrane (GO:0005789) (GO_Cellular_Component_2021)
1428       | CD14+ Monocytes (0.38)    | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
3977       | CD4 T cells (-0.30)       | L-serine biosynthetic process (GO:0006564) (GO_Biological_Process_2021) || L-serine metabolic process (GO:0006563) (GO_Biological_Process_2021) || serine family amino acid biosynthetic process (GO:0009070) (GO_Biological_Process_2021)
4245       | B cells (-0.47)           | germ plasm (GO:0060293) (GO_Cellular_Component_2021) || P granule (GO:0043186) (GO_Cellular_Component_2021) || histone demethylase activity (H3-trimethyl-K4 specific) (GO:0034647) (GO_Molecular_Function_2021)
3599       | CD4 T cells (0.71)        | positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213) (GO_Biological_Process_2021) || regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211) (GO_Biological_Process_2021) || positive regulation of cytokine-mediated signaling pathway (GO:0001961) (GO_Biological_Process_2021)
1366       | CD4 T cells (0.25)        | transmembrane receptor protein tyrosine kinase adaptor activity (GO:0005068) (GO_Molecular_Function_2021) || acid-thiol ligase activity (GO:0016878) (GO_Molecular_Function_2021) || nucleoside diphosphate kinase activity (GO:0004550) (GO_Molecular_Function_2021)
1232       | B cells (-0.29)           | translational termination (GO:0006415) (GO_Biological_Process_2021) || mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021) || mRNA 3'-end processing by stem-loop binding and cleavage (GO:0006398) (GO_Biological_Process_2021)
581        | B cells (-0.36)           | positive regulation of myeloid leukocyte mediated immunity (GO:0002888) (GO_Biological_Process_2021) || positive regulation of macrophage activation (GO:0043032) (GO_Biological_Process_2021)
547        | CD14+ Monocytes (-0.63)   | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
256        | CD14+ Monocytes (0.35)    | C21-steroid hormone biosynthetic process (GO:0006700) (GO_Biological_Process_2021) || C21-steroid hormone metabolic process (GO:0008207) (GO_Biological_Process_2021) || steroid hormone biosynthetic process (GO:0120178) (GO_Biological_Process_2021)
2619       | CD4 T cells (0.57)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || mRNA processing (GO:0006397) (GO_Biological_Process_2021) || mRNA binding (GO:0003729) (GO_Molecular_Function_2021)
3837       | CD4 T cells (-0.42)       | mitochondrial calcium ion transmembrane transport (GO:0006851) (GO_Biological_Process_2021) || mitochondrial calcium ion homeostasis (GO:0051560) (GO_Biological_Process_2021) || uniplex complex (GO:1990246) (GO_Cellular_Component_2021)
524        | CD4 T cells (0.68)        | 3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115) (GO_Molecular_Function_2021) || cAMP binding (GO:0030552) (GO_Molecular_Function_2021) || regulation of relaxation of cardiac muscle (GO:1901897) (GO_Biological_Process_2021)
1775       | CD4 T cells (-0.51)       | ribosome biogenesis (GO:0042254) (GO_Biological_Process_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021)
1853       | CD14+ Monocytes (-0.42)   | acylglycerol acyl-chain remodeling (GO:0036155) (GO_Biological_Process_2021) || positive regulation of triglyceride catabolic process (GO:0010898) (GO_Biological_Process_2021) || regulation of triglyceride catabolic process (GO:0010896) (GO_Biological_Process_2021)
715        | CD14+ Monocytes (0.45)    | NAD-dependent histone deacetylase activity (GO:0017136) (GO_Molecular_Function_2021) || NAD-dependent protein deacetylase activity (GO:0034979) (GO_Molecular_Function_2021) || rRNA (adenine) methyltransferase activity (GO:0016433) (GO_Molecular_Function_2021)
1918       | B cells (0.23)            | mitochondrial envelope (GO:0005740) (GO_Cellular_Component_2021) || mitochondrial respiratory chain complex I (GO:0005747) (GO_Cellular_Component_2021) || respiratory chain complex I (GO:0045271) (GO_Cellular_Component_2021)
2426       | CD14+ Monocytes (-0.60)   | mechanosensitive ion channel activity (GO:0008381) (GO_Molecular_Function_2021) || gated channel activity (GO:0022836) (GO_Molecular_Function_2021)
1895       | CD14+ Monocytes (-0.55)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021)
3523       | NK cells (-0.34)          | UDP-N-acetylglucosamine transmembrane transporter activity (GO:0005462) (GO_Molecular_Function_2021) || oligopeptide transmembrane transporter activity (GO:0035673) (GO_Molecular_Function_2021) || riboflavin transmembrane transporter activity (GO:0032217) (GO_Molecular_Function_2021)
694        | CD4 T cells (-0.42)       | regulation of Wnt signaling pathway (GO:0030111) (GO_Biological_Process_2021) || positive regulation of intracellular protein transport (GO:0090316) (GO_Biological_Process_2021) || negative regulation of transporter activity (GO:0032410) (GO_Biological_Process_2021)
2259       | FCGR3A+ Monocytes (-0.26) | fatty acid oxidation (GO:0019395) (GO_Biological_Process_2021) || fatty acid catabolic process (GO:0009062) (GO_Biological_Process_2021)
3921       | CD4 T cells (-0.64)       | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
2330       | CD14+ Monocytes (-0.59)   | striated muscle cell differentiation (GO:0051146) (GO_Biological_Process_2021)
1071       | B cells (-0.50)           | nucleoside salvage (GO:0043174) (GO_Biological_Process_2021) || nucleobase-containing compound biosynthetic process (GO:0034654) (GO_Biological_Process_2021) || erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222) (GO_Biological_Process_2021)
471        | B cells (0.35)            | copper ion binding (GO:0005507) (GO_Molecular_Function_2021) || nuclease activity (GO:0004518) (GO_Molecular_Function_2021) || ribonuclease activity (GO:0004540) (GO_Molecular_Function_2021)
525        | CD14+ Monocytes (-0.53)   | cadherin binding involved in cell-cell adhesion (GO:0098641) (GO_Molecular_Function_2021)
109        | CD4 T cells (0.74)        | CARD domain binding (GO:0050700) (GO_Molecular_Function_2021) || cysteine-type endopeptidase inhibitor activity (GO:0004869) (GO_Molecular_Function_2021) || azurophil granule (GO:0042582) (GO_Cellular_Component_2021)
